Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
 1022, 1023, 955688.0434, 1942171.5874,         5.088657,         1.270354,         4.005699,        -0.154305,         0.028982,        -5.324209,         0.114342,         0.016644,         6.869675,        -0.017101,         0.016770,        -1.019738,        -0.059342,         0.031475,        -1.885391,        -0.036948,         0.024836,        -1.487692,        -1.606226,         0.672156,        -2.389661,         0.011937,         0.036473,         0.327293,        -5.613322,         1.163488,        -4.824562,        -0.000199,         0.001050,        -0.189862,        -0.260828,         0.155444,        -1.677961,         0.147259,         0.055099,         2.672626,         1.046313,         0.044410,        23.560498,        -0.065709,         0.025531,        -2.573688,         4.792577,         4.726893,         0.065684,         1.347126,         0.906303,         0.319047,         0.002030
 1023, 1024, 955702.7844, 1942965.1365,         8.481303,         1.230173,         6.894399,        -0.161763,         0.028244,        -5.727336,         0.104186,         0.016144,         6.453380,        -0.013997,         0.015844,        -0.883432,        -0.062867,         0.029994,        -2.095970,        -0.029206,         0.024802,        -1.177584,        -3.164831,         0.637097,        -4.967584,        -0.057649,         0.037419,        -1.540649,        -9.364063,         1.439414,        -6.505471,         0.000726,         0.001057,         0.687068,        -0.094483,         0.166985,        -0.565817,         0.014009,         0.064719,         0.216457,         1.032475,         0.043245,        23.875061,        -0.078657,         0.028063,        -2.802857,         4.875061,         4.799662,         0.075399,         1.380803,         0.891800,         0.145938,         0.000778
 1024, 1025, 955712.7582, 1943138.6952,         9.172237,         1.230127,         7.456336,        -0.156292,         0.027077,        -5.772222,         0.098900,         0.015604,         6.338122,        -0.010463,         0.015017,        -0.696735,        -0.066902,         0.027665,        -2.418260,        -0.026033,         0.024127,        -1.078990,        -3.447135,         0.633839,        -5.438500,        -0.071843,         0.037949,        -1.893159,       -10.557803,         1.685721,        -6.263079,         0.000983,         0.001044,         0.941490,        -0.011538,         0.173319,        -0.066572,        -0.028781,         0.067949,        -0.423562,         1.025973,         0.042184,        24.321337,        -0.082447,         0.028476,        -2.895263,         5.123852,         5.132423,        -0.008571,        -0.155241,         0.887165,         0.126870,         0.000008
 1025, 1026, 955726.6543, 1945411.1812,        10.730780,         1.450301,         7.399003,        -0.106108,         0.026704,        -3.973500,         0.046640,         0.015917,         2.930174,         0.030795,         0.016120,         1.910392,         0.011284,         0.026442,         0.426726,         0.062543,         0.025684,         2.435098,        -4.746087,         0.824442,        -5.756728,        -0.099052,         0.048572,        -2.039293,        -8.246050,         2.826107,        -2.917812,         0.002137,         0.001258,         1.699084,        -0.356363,         0.156567,        -2.276105,         0.067885,         0.069710,         0.973820,         0.892302,         0.041266,        21.623108,        -0.115704,         0.030385,        -3.807970,         4.872246,         4.919996,        -0.047750,        -0.850680,         0.818633,         0.097543,         0.000187
 1026, 1027, 955727.0388, 1944221.1764,        11.915790,         1.576878,         7.556570,        -0.134096,         0.025905,        -5.176415,         0.069910,         0.014388,         4.858847,         0.001963,         0.013761,         0.142624,        -0.049118,         0.023198,        -2.117354,         0.012726,         0.022925,         0.555107,        -4.617618,         0.810386,        -5.698045,        -0.052478,         0.051823,        -1.012635,       -15.329311,         3.716769,        -4.124365,         0.003129,         0.001343,         2.329106,         0.632097,         0.307505,         2.055566,        -0.295593,         0.125285,        -2.359365,         0.972161,         0.039239,        24.775220,        -0.098432,         0.031677,        -3.107407,         5.096910,         5.158052,        -0.061142,        -1.316663,         0.848590,         0.382348,         0.002562
 1027, 1028, 955805.7716, 1954133.7385,         1.008954,         1.144633,         0.881465,        -0.209560,         0.032740,        -6.400725,         0.072404,         0.018106,         3.998888,        -0.057879,         0.020845,        -2.776669,        -0.116540,         0.024792,        -4.700652,        -0.042723,         0.025347,        -1.685521,         1.838796,         0.649575,         2.830768,        -0.042811,         0.039090,        -1.095190,        -6.749692,         1.302814,        -5.180857,         0.004789,         0.001156,         4.143550,         0.127953,         0.033409,         3.829861,        -0.005202,         0.023553,        -0.220887,         0.828323,         0.068520,        12.088686,        -0.072576,         0.029908,        -2.426670,         4.752048,         4.630821,         0.121227,         2.222458,         0.903342,         0.147793,         0.002045
 1028, 1029, 955770.2507, 1942031.2482,         4.540934,         1.305126,         3.479307,        -0.146768,         0.028924,        -5.074239,         0.113918,         0.016758,         6.797946,        -0.017350,         0.016904,        -1.026358,        -0.057508,         0.031247,        -1.840451,        -0.036416,         0.025059,        -1.453207,        -1.310125,         0.690656,        -1.896928,         0.018199,         0.036471,         0.498995,        -5.108691,         1.172241,        -4.358054,        -0.000219,         0.001039,        -0.210753,        -0.269170,         0.155827,        -1.727365,         0.153339,         0.055576,         2.759102,         1.048735,         0.044253,        23.698645,        -0.066131,         0.025765,        -2.566691,         4.838849,         4.823613,         0.015236,         0.288813,         0.907144,         0.202851,         0.000051
 1029, 1030, 955877.7402, 1954140.9783,         1.150724,         1.120591,         1.026890,        -0.209195,         0.032372,        -6.462171,         0.071242,         0.017896,         3.980939,        -0.056811,         0.020338,        -2.793379,        -0.115790,         0.024569,        -4.712876,        -0.041770,         0.025106,        -1.663730,         1.756384,         0.635883,         2.762118,        -0.043723,         0.038898,        -1.124048,        -6.651367,         1.306589,        -5.090636,         0.004654,         0.001129,         4.122621,         0.128549,         0.033874,         3.794919,        -0.005877,         0.023361,        -0.251593,         0.823100,         0.068190,        12.070654,        -0.073274,         0.029394,        -2.492837,         4.512509,         4.439418,         0.073091,         1.360823,         0.901594,         0.173691,         0.000929
 1030, 1031, 955877.5362, 1944984.434,        12.968512,         1.625537,         7.977987,        -0.116535,         0.026479,        -4.401059,         0.052982,         0.015458,         3.427510,         0.018383,         0.015124,         1.215435,        -0.003448,         0.025458,        -0.135432,         0.055884,         0.024889,         2.245359,        -5.475569,         0.874291,        -6.262869,        -0.059091,         0.053162,        -1.111512,       -11.182205,         3.323508,        -3.364579,         0.003936,         0.001414,         2.783123,         0.442691,         0.274044,         1.615404,        -0.247904,         0.116714,        -2.124035,         0.913606,         0.040238,        22.705114,        -0.111025,         0.031989,        -3.470719,         5.199382,         5.169391,         0.029991,         0.583421,         0.829147,         0.243098,         0.000261
 1031, 1032, 955951.8276, 1954426.1143,         1.690761,         0.995043,         1.699184,        -0.214471,         0.030813,        -6.960339,         0.071176,         0.017357,         4.100786,        -0.054414,         0.018808,        -2.893191,        -0.110076,         0.023114,        -4.762241,        -0.037377,         0.024084,        -1.551913,         1.394058,         0.548974,         2.539389,        -0.044643,         0.036520,        -1.222407,        -6.150739,         1.194034,        -5.151228,         0.004595,         0.001121,         4.099646,         0.119705,         0.035856,         3.338479,        -0.000268,         0.025128,        -0.010668,         0.818318,         0.065056,        12.578623,        -0.072320,         0.027554,        -2.624708,         4.712650,         4.794458,        -0.081808,        -1.624572,         0.899075,         0.273674,         0.002375
