Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 938725.5587, 1952880.8187,         1.353239,         1.395026,         0.970046,         0.017268,         0.075262,         0.229442,         0.142203,         0.021628,         6.574930,        -0.061325,         0.030460,        -2.013338,         0.003859,         0.033757,         0.114324,        -0.014230,         0.036053,        -0.394682,         0.031693,         0.738010,         0.042944,        -0.058684,         0.036287,        -1.617212,         0.000020,         0.289131,         0.000069,        -0.006957,         0.002483,        -2.801336,        -0.847980,         0.293924,        -2.885028,         0.266582,         0.081312,         3.278498,         1.325067,         0.087653,        15.117148,        -0.039363,         0.043772,        -0.899275,         4.427329,         4.389790,         0.037539,         0.489764,         0.868503,         0.170585,         0.000107
    1, 2, 938779.3708, 1952593.7962,         1.386386,         1.395156,         0.993714,         0.021860,         0.074999,         0.291467,         0.142335,         0.021566,         6.600129,        -0.062029,         0.030791,        -2.014495,         0.003084,         0.033742,         0.091411,        -0.015209,         0.035927,        -0.423325,         0.015709,         0.738595,         0.021269,        -0.058276,         0.036327,        -1.604195,        -0.010157,         0.291244,        -0.034875,        -0.006928,         0.002429,        -2.852044,        -0.842086,         0.292928,        -2.874717,         0.265598,         0.080993,         3.279260,         1.321574,         0.087807,        15.050971,        -0.039387,         0.043788,        -0.899490,         4.090141,         4.212713,        -0.122572,        -1.633747,         0.866647,         0.205332,         0.001497
    2, 3, 938882.3826, 1952415.691,         1.406986,         1.387397,         1.014120,         0.025742,         0.074160,         0.347110,         0.142852,         0.021361,         6.687507,        -0.062231,         0.030575,        -2.035389,         0.002658,         0.033453,         0.079470,        -0.016079,         0.035492,        -0.453039,         0.003860,         0.735536,         0.005248,        -0.058826,         0.036021,        -1.633123,        -0.013994,         0.290082,        -0.048241,        -0.006952,         0.002371,        -2.932043,        -0.844639,         0.289857,        -2.913986,         0.266548,         0.080221,         3.322685,         1.319717,         0.087097,        15.152263,        -0.040700,         0.043318,        -0.939570,         4.384712,         4.385178,        -0.000466,        -0.006258,         0.865989,         0.217350,         0.000000
    3, 4, 938882.821, 1952068.3777,         1.478354,         1.390419,         1.063243,         0.032657,         0.073893,         0.441949,         0.142754,         0.021319,         6.696007,        -0.063838,         0.031339,        -2.037007,         0.000961,         0.033557,         0.028627,        -0.017753,         0.035368,        -0.501951,        -0.027670,         0.738046,        -0.037490,        -0.057375,         0.036137,        -1.587718,        -0.034002,         0.294006,        -0.115649,        -0.006911,         0.002285,        -3.024766,        -0.826958,         0.290111,        -2.850487,         0.263082,         0.079887,         3.293158,         1.312670,         0.087686,        14.970109,        -0.040376,         0.043528,        -0.927585,         4.390918,         4.317918,         0.073000,         0.988076,         0.862876,         0.229393,         0.000631
    4, 5, 938903.3219, 1952524.4804,         1.385770,         1.387235,         0.998944,         0.023714,         0.074222,         0.319499,         0.142926,         0.021371,         6.687928,        -0.061806,         0.030363,        -2.035567,         0.003102,         0.033419,         0.092827,        -0.015610,         0.035520,        -0.439470,         0.013365,         0.735133,         0.018181,        -0.059200,         0.036042,        -1.642499,        -0.008952,         0.289150,        -0.030961,        -0.006965,         0.002408,        -2.892485,        -0.849278,         0.290621,        -2.922286,         0.267539,         0.080384,         3.328254,         1.321761,         0.086885,        15.212792,        -0.040849,         0.043244,        -0.944623,         4.403121,         4.351240,         0.051881,         0.717507,         0.866926,         0.261876,         0.000396
    5, 6, 938933.3153, 1953302.0948,         1.281763,         1.411703,         0.907955,         0.008621,         0.076135,         0.113238,         0.142282,         0.021878,         6.503429,        -0.060399,         0.030297,        -1.993574,         0.005147,         0.033933,         0.151694,        -0.012486,         0.036509,        -0.342007,         0.067515,         0.744112,         0.090732,        -0.058978,         0.037393,        -1.577263,         0.011551,         0.290176,         0.039805,        -0.006980,         0.002751,        -2.537031,        -0.855265,         0.308352,        -2.773665,         0.267921,         0.083303,         3.216218,         1.331759,         0.087379,        15.241109,        -0.038823,         0.043986,        -0.882616,         4.391030,         4.391147,        -0.000117,        -0.001490,         0.871529,         0.126606,         0.000000
    6, 7, 938966.944, 1951941.3777,         1.503556,         1.384738,         1.085805,         0.036257,         0.073166,         0.495546,         0.143198,         0.021159,         6.767855,        -0.064129,         0.031190,        -2.056081,         0.000440,         0.033327,         0.013216,        -0.018614,         0.034999,        -0.531853,        -0.040794,         0.735930,        -0.055431,        -0.057706,         0.035932,        -1.605975,        -0.038547,         0.293076,        -0.131526,        -0.006935,         0.002244,        -3.090904,        -0.827029,         0.288510,        -2.866551,         0.263419,         0.079303,         3.321682,         1.310442,         0.087082,        15.048444,        -0.041548,         0.043158,        -0.962704,         4.205810,         4.127844,         0.077966,         1.057171,         0.862232,         0.232115,         0.000733
    7, 8, 939082.1363, 1952635.1571,         1.349356,         1.378851,         0.978609,         0.022288,         0.073447,         0.303454,         0.143692,         0.021168,         6.788213,        -0.060900,         0.029564,        -2.059930,         0.003748,         0.033012,         0.113519,        -0.015263,         0.035102,        -0.434809,         0.027030,         0.730925,         0.036981,        -0.060748,         0.035798,        -1.696981,         0.000141,         0.285553,         0.000493,        -0.007032,         0.002453,        -2.866848,        -0.864092,         0.290012,        -2.979502,         0.271267,         0.080025,         3.389789,         1.325385,         0.085513,        15.499170,        -0.042757,         0.042520,        -1.005575,         4.391773,         4.423945,        -0.032172,        -0.427719,         0.868869,         0.201240,         0.000100
    8, 9, 939088.8169, 1953026.2875,         1.293698,         1.397657,         0.925619,         0.013663,         0.074884,         0.182458,         0.143154,         0.021535,         6.647604,        -0.060388,         0.029825,        -2.024727,         0.004793,         0.033460,         0.143243,        -0.013509,         0.035847,        -0.376854,         0.057258,         0.738242,         0.077559,        -0.060152,         0.036818,        -1.633793,         0.008588,         0.288052,         0.029813,        -0.007016,         0.002664,        -2.633604,        -0.863656,         0.302049,        -2.859326,         0.270612,         0.082029,         3.298992,         1.330510,         0.086251,        15.426068,        -0.040898,         0.043194,        -0.946860,         4.414973,         4.459486,        -0.044513,        -0.554265,         0.870966,         0.089425,         0.000065
    9, 10, 939095.3223, 1953313.7242,         1.265493,         1.411939,         0.896281,         0.007592,         0.075844,         0.100101,         0.142741,         0.021810,         6.544896,        -0.060158,         0.030043,        -2.002414,         0.005463,         0.033782,         0.161717,        -0.012380,         0.036351,        -0.340571,         0.074362,         0.743961,         0.099954,        -0.059702,         0.037566,        -1.589261,         0.014662,         0.289640,         0.050621,        -0.007020,         0.002811,        -2.497695,        -0.862240,         0.311394,        -2.768968,         0.269539,         0.083469,         3.229202,         1.333520,         0.086736,        15.374521,        -0.039619,         0.043677,        -0.907088,         4.048964,         4.044926,         0.004038,         0.052186,         0.872438,         0.154544,         0.000001
