Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         2.933875,         0.835605,         3.511077,        -0.025243,         0.024801,        -1.017858,         0.123419,         0.014755,         8.364791,        -0.007311,         0.016638,        -0.439403,        -0.040056,         0.021183,        -1.890922,         0.013631,         0.029081,         0.468735,        -0.169972,         0.545930,        -0.311343,         0.005801,         0.037991,         0.152682,        -0.366522,         0.335081,        -1.093833,        -0.005589,         0.000942,        -5.932311,        -0.010988,         0.034263,        -0.320702,         0.151862,         0.031410,         4.834856,         0.826199,         0.036247,        22.793429,         0.098830,         0.084439,         1.170423,         4.584002,         4.650018,        -0.066016,        -1.248488,         0.886738,         0.162470,         0.000759
    1, 2, 962576.2556, 1944199.8002,         3.155497,         0.890666,         3.542853,        -0.018097,         0.026561,        -0.681346,         0.112522,         0.015551,         7.235805,        -0.010422,         0.017384,        -0.599544,        -0.032647,         0.021977,        -1.485488,         0.025713,         0.031226,         0.823452,        -0.359863,         0.570639,        -0.630632,        -0.006224,         0.038797,        -0.160420,        -0.232264,         0.343333,        -0.676499,        -0.006062,         0.001103,        -5.497794,        -0.025012,         0.033112,        -0.755366,         0.165560,         0.030432,         5.440335,         0.845418,         0.038795,        21.792034,         0.119636,         0.087268,         1.370913,         5.075409,         5.062994,         0.012415,         0.238471,         0.884526,         0.188187,         0.000033
    2, 3, 961749.2586, 1942854.2381,         3.351496,         0.862217,         3.887069,        -0.036446,         0.023852,        -1.528008,         0.145248,         0.014450,        10.051925,         0.013442,         0.014987,         0.896893,        -0.054733,         0.019069,        -2.870256,        -0.005788,         0.026746,        -0.216409,        -0.369902,         0.559178,        -0.661511,         0.084175,         0.036779,         2.288699,        -0.401387,         0.338002,        -1.187529,        -0.003545,         0.000786,        -4.512416,         0.290420,         0.088517,         3.280965,         0.050457,         0.040609,         1.242511,         0.797069,         0.032783,        24.313507,         0.046685,         0.071689,         0.651215,         4.815047,         4.688332,         0.126715,         2.321352,         0.893361,         0.107436,         0.001629
    3, 4, 961493.89, 1942493.5085,         3.896595,         0.902423,         4.317927,        -0.041745,         0.023634,        -1.766282,         0.152333,         0.014460,        10.535029,         0.023697,         0.014717,         1.610147,        -0.062231,         0.018413,        -3.379717,        -0.011008,         0.026038,        -0.422782,        -0.672313,         0.580240,        -1.158682,         0.124945,         0.039696,         3.147553,        -0.321735,         0.348310,        -0.923702,        -0.002685,         0.000776,        -3.461256,         0.480299,         0.136753,         3.512160,        -0.013497,         0.047503,        -0.284124,         0.793664,         0.031859,        24.911812,         0.027794,         0.063216,         0.439659,         4.667525,         4.610976,         0.056549,         1.074084,         0.895864,         0.169681,         0.000592
    4, 5, 961233.2027, 1942230.3491,         4.221110,         0.924925,         4.563733,        -0.044895,         0.023787,        -1.887379,         0.154622,         0.014535,        10.638084,         0.029664,         0.014559,         2.037428,        -0.065101,         0.018122,        -3.592289,        -0.016808,         0.025873,        -0.649637,        -0.839200,         0.592020,        -1.417519,         0.139509,         0.040931,         3.408433,        -0.315526,         0.367918,        -0.857598,        -0.002132,         0.000785,        -2.714424,         0.486177,         0.136971,         3.549483,        -0.038734,         0.048983,        -0.790753,         0.790725,         0.031553,        25.060216,         0.015589,         0.058497,         0.266485,         4.870859,         4.724870,         0.145989,         2.794197,         0.897229,         0.182305,         0.004371
    5, 6, 961165.8318, 1943286.0279,         4.338751,         0.906335,         4.787139,        -0.066581,         0.026581,        -2.504848,         0.156753,         0.014420,        10.870606,         0.033816,         0.014692,         2.301621,        -0.070297,         0.019301,        -3.642068,         0.002007,         0.026357,         0.076140,        -0.860989,         0.575094,        -1.497128,         0.097421,         0.041495,         2.347779,        -0.650483,         0.494858,        -1.314485,        -0.002367,         0.000778,        -3.042310,         0.467871,         0.141584,         3.304540,        -0.026406,         0.048347,        -0.546166,         0.814096,         0.030579,        26.622478,         0.018627,         0.067130,         0.277484,         5.026731,         4.976275,         0.050456,         0.940384,         0.899685,         0.137638,         0.000354
    6, 7, 961313.2771, 1943305.3987,         4.096381,         0.901871,         4.542094,        -0.060602,         0.026631,        -2.275602,         0.153787,         0.014506,        10.601478,         0.028746,         0.014914,         1.927481,        -0.066164,         0.019554,        -3.383716,         0.002102,         0.026757,         0.078562,        -0.742167,         0.575503,        -1.289597,         0.093056,         0.041146,         2.261575,        -0.575143,         0.447972,        -1.283880,        -0.002797,         0.000788,        -3.547798,         0.481787,         0.142922,         3.370971,        -0.010742,         0.047753,        -0.224946,         0.811619,         0.031319,        25.914672,         0.029139,         0.071757,         0.406080,         4.861534,         4.829534,         0.032000,         0.584221,         0.896795,         0.101319,         0.000097
    7, 8, 962133.5667, 1943377.8241,         2.892189,         0.824813,         3.506479,        -0.027373,         0.024121,        -1.134810,         0.131820,         0.014572,         9.045854,        -0.002475,         0.015960,        -0.155048,        -0.044188,         0.020367,        -2.169530,         0.003660,         0.027964,         0.130870,        -0.122919,         0.542541,        -0.226561,         0.027224,         0.035616,         0.764353,        -0.420338,         0.332233,        -1.265191,        -0.004933,         0.000848,        -5.814403,         0.028711,         0.037339,         0.768920,         0.131791,         0.033334,         3.953695,         0.808349,         0.034853,        23.192795,         0.082490,         0.083469,         0.988265,         4.831330,         4.854104,        -0.022774,        -0.410750,         0.889043,         0.079142,         0.000036
    8, 9, 961857.3128, 1943231.8278,         3.148521,         0.843372,         3.733255,        -0.037381,         0.024334,        -1.536145,         0.140483,         0.014482,         9.700243,         0.008052,         0.015376,         0.523665,        -0.052227,         0.019771,        -2.641575,         0.000781,         0.027203,         0.028717,        -0.250870,         0.549710,        -0.456368,         0.057304,         0.036372,         1.575507,        -0.439622,         0.338476,        -1.298828,        -0.004111,         0.000805,        -5.109704,         0.217337,         0.072680,         2.990327,         0.081136,         0.037838,         2.144323,         0.804558,         0.033380,        24.103245,         0.061838,         0.079195,         0.780837,         4.957180,         4.878528,         0.078652,         1.407981,         0.891591,         0.065248,         0.000347
    9, 10, 962106.2529, 1942949.4875,         2.961227,         0.838874,         3.530003,        -0.020619,         0.023771,        -0.867406,         0.134440,         0.014595,         9.211518,        -0.000746,         0.015755,        -0.047367,        -0.042223,         0.019877,        -2.124231,        -0.005753,         0.027768,        -0.207178,        -0.170054,         0.551275,        -0.308474,         0.045701,         0.035368,         1.292168,        -0.406524,         0.331215,        -1.227370,        -0.004634,         0.000840,        -5.516400,         0.047704,         0.038836,         1.228354,         0.119004,         0.035475,         3.354608,         0.796234,         0.035091,        22.690492,         0.072959,         0.078402,         0.930575,         4.784672,         4.758762,         0.025910,         0.485273,         0.889329,         0.146062,         0.000101
   10, 11, 960584.4767, 1942901.6994,         5.229022,         0.942126,         5.550237,        -0.077052,         0.026410,        -2.917549,         0.165570,         0.014654,        11.298883,         0.049707,         0.014405,         3.450631,        -0.085067,         0.018735,        -4.540441,        -0.009734,         0.025775,        -0.377660,        -1.276611,         0.589684,        -2.164906,         0.115834,         0.043373,         2.670643,        -0.892561,         0.611451,        -1.459741,        -0.000949,         0.000791,        -1.200837,         0.444688,         0.137520,         3.233624,        -0.085877,         0.050863,        -1.688416,         0.810220,         0.029663,        27.314082,        -0.012070,         0.054182,        -0.222765,         4.981574,         4.983811,        -0.002237,        -0.042276,         0.906969,         0.161238,         0.000001
   11, 12, 960747.8202, 1942840.7862,         4.962773,         0.941424,         5.271558,        -0.071028,         0.026711,        -2.659112,         0.162709,         0.014701,        11.068214,         0.045002,         0.014519,         3.099524,        -0.079763,         0.018837,        -4.234393,        -0.009900,         0.026169,        -0.378320,        -1.160279,         0.593140,        -1.956164,         0.122578,         0.043432,         2.822330,        -0.770888,         0.591056,        -1.304255,        -0.001241,         0.000804,        -1.542882,         0.457777,         0.138931,         3.294994,        -0.075279,         0.051084,        -1.473624,         0.806837,         0.030171,        26.742475,        -0.004393,         0.056319,        -0.078005,         4.867560,         4.935036,        -0.067476,        -1.506891,         0.903724,         0.399379,         0.003791
   12, 13, 960451.4026, 1942588.0501,         5.364751,         0.934688,         5.739614,        -0.077211,         0.026196,        -2.947390,         0.164043,         0.014681,        11.173512,         0.051622,         0.014157,         3.646487,        -0.081553,         0.017797,        -4.582278,        -0.012765,         0.025261,        -0.505318,        -1.361774,         0.580899,        -2.344254,         0.126884,         0.042627,         2.976629,        -0.849802,         0.615982,        -1.379589,        -0.000865,         0.000780,        -1.108775,         0.453144,         0.136500,         3.319752,        -0.095411,         0.050762,        -1.879573,         0.802366,         0.029580,        27.125200,        -0.011354,         0.051713,        -0.219567,         4.778151,         4.738169,         0.039982,         0.786525,         0.907793,         0.225962,         0.000453
   13, 14, 960584.4818, 1942236.7969,         5.128688,         0.947396,         5.413458,        -0.067440,         0.026139,        -2.580022,         0.160230,         0.014952,        10.716575,         0.047750,         0.014358,         3.325763,        -0.075006,         0.017758,        -4.223668,        -0.019692,         0.025922,        -0.759655,        -1.265088,         0.593059,        -2.133158,         0.143930,         0.043109,         3.338759,        -0.655259,         0.585322,        -1.119484,        -0.001065,         0.000802,        -1.327747,         0.481478,         0.139743,         3.445443,        -0.091955,         0.051672,        -1.779572,         0.792699,         0.030752,        25.777416,        -0.005600,         0.052727,        -0.106206,         4.750094,         4.701771,         0.048323,         0.947623,         0.903106,         0.221062,         0.000640
   14, 15, 960818.2735, 1941987.041,         4.759717,         0.951675,         5.001409,        -0.054068,         0.024819,        -2.178472,         0.156624,         0.014914,        10.501650,         0.040566,         0.014501,         2.797428,        -0.068612,         0.017810,        -3.852356,        -0.023787,         0.026222,        -0.907139,        -1.104744,         0.601980,        -1.835186,         0.153452,         0.042926,         3.574830,        -0.417813,         0.467212,        -0.894268,        -0.001435,         0.000809,        -1.773002,         0.496946,         0.140209,         3.544321,        -0.075506,         0.051467,        -1.467090,         0.786507,         0.031675,        24.830867,         0.001978,         0.054360,         0.036396,         4.769377,         4.819674,        -0.050297,        -0.965694,         0.898921,         0.187417,         0.000540
   15, 16, 957816.4131, 1946266.7864,         0.663553,         1.319559,         0.502860,        -0.071766,         0.029919,        -2.398679,         0.133477,         0.017268,         7.729862,         0.079093,         0.019821,         3.990399,        -0.009046,         0.027767,        -0.325765,         0.054829,         0.029259,         1.873934,         1.253829,         0.729847,         1.717933,        -0.039722,         0.059848,        -0.663717,        -7.631186,         2.187356,        -3.488771,        -0.001519,         0.000898,        -1.692376,        -0.203066,         0.148927,        -1.363521,         0.143684,         0.038924,         3.691380,         0.816070,         0.035380,        23.065826,        -0.110419,         0.078770,        -1.401793,         4.550228,         4.534849,         0.015379,         0.319514,         0.943681,         0.306024,         0.000113
   16, 17, 958373.9516, 1946168.3064,         3.276746,         1.410298,         2.323442,        -0.088293,         0.029849,        -2.957993,         0.159552,         0.016215,         9.839713,         0.061930,         0.019358,         3.199116,        -0.027002,         0.024072,        -1.121703,         0.039371,         0.026536,         1.483671,        -0.177190,         0.809146,        -0.218984,        -0.164536,         0.074915,        -2.196302,        -5.187956,         2.124678,        -2.441761,        -0.002355,         0.001049,        -2.244224,        -0.381361,         0.187380,        -2.035226,         0.222434,         0.059726,         3.724272,         0.813569,         0.033858,        24.028906,        -0.131320,         0.072580,        -1.809319,         4.474216,         4.448154,         0.026062,         0.536402,         0.950452,         0.292839,         0.000299
