Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.594,         2.711098,         0.946944,         2.862999,         0.021716,         0.028347,         0.766102,         0.125799,         0.016558,         7.597349,        -0.008475,         0.019167,        -0.442145,        -0.021980,         0.026462,        -0.830610,        -0.028342,         0.033814,        -0.838172,        -0.084059,         0.617717,        -0.136081,        -0.024282,         0.046236,        -0.525160,        -0.556837,         0.363087,        -1.533617,        -0.006005,         0.001070,        -5.610119,        -0.013825,         0.047664,        -0.290058,         0.177306,         0.033976,         5.218608,         0.872177,         0.034587,        25.216980,         0.063374,         0.045685,         1.387196,         4.602365,         4.641013,        -0.038648,        -0.732337,         0.909515,         0.175388,         0.000219
    1, 2, 961749.2586, 1942854.238,         3.444074,         0.994244,         3.464013,        -0.032979,         0.027104,        -1.216742,         0.143964,         0.016704,         8.618716,         0.035847,         0.016827,         2.130326,        -0.052944,         0.022660,        -2.336407,        -0.013753,         0.029610,        -0.464468,        -0.602384,         0.639126,        -0.942512,         0.088833,         0.046210,         1.922387,        -0.434368,         0.371852,        -1.168120,        -0.003120,         0.000863,        -3.615996,         0.251862,         0.165312,         1.523556,         0.063864,         0.050886,         1.255023,         0.876880,         0.032992,        26.578619,         0.103509,         0.050025,         2.069148,         4.884450,         4.721311,         0.163139,         2.971618,         0.898362,         0.107644,         0.002045
    2, 3, 961493.89, 1942493.509,         4.143544,         1.019573,         4.064001,        -0.039851,         0.026841,        -1.484700,         0.144601,         0.016827,         8.593253,         0.047663,         0.016416,         2.903472,        -0.058271,         0.022180,        -2.627230,        -0.014633,         0.029038,        -0.503918,        -1.020794,         0.651520,        -1.566788,         0.111729,         0.047165,         2.368873,        -0.356436,         0.400181,        -0.890686,        -0.002215,         0.000851,        -2.602395,         0.269811,         0.161450,         1.671174,         0.029147,         0.052698,         0.553102,         0.879867,         0.033328,        26.400293,         0.115755,         0.051387,         2.252602,         4.701131,         4.577332,         0.123799,         2.531174,         0.893558,         0.291729,         0.005067
    3, 4, 961233.2027, 1942230.349,         4.959310,         1.079690,         4.593271,        -0.050689,         0.028015,        -1.809377,         0.143765,         0.017673,         8.134584,         0.058743,         0.016877,         3.480552,        -0.065065,         0.022658,        -2.871685,        -0.014495,         0.030066,        -0.482119,        -1.467056,         0.686316,        -2.137580,         0.125579,         0.050163,         2.503420,        -0.439301,         0.511555,        -0.858756,        -0.001423,         0.000898,        -1.584061,         0.289016,         0.165503,         1.746290,        -0.008566,         0.056602,        -0.151347,         0.880013,         0.034941,        25.185921,         0.131621,         0.054111,         2.432433,         4.882868,         4.751975,         0.130893,         2.616275,         0.886891,         0.258902,         0.004592
    4, 5, 961165.8318, 1943286.028,         5.331678,         1.034179,         5.155468,        -0.069456,         0.030524,        -2.275433,         0.143529,         0.016798,         8.544484,         0.071315,         0.016773,         4.251819,        -0.069668,         0.022665,        -3.073784,        -0.012599,         0.029291,        -0.430137,        -1.562906,         0.644373,        -2.425468,         0.054308,         0.052212,         1.040138,        -1.299710,         0.636970,        -2.040456,        -0.001213,         0.000909,        -1.334248,         0.118131,         0.175868,         0.671704,         0.002822,         0.056442,         0.049996,         0.930457,         0.032062,        29.020696,         0.090032,         0.047077,         1.912422,         5.146128,         5.173990,        -0.027862,        -0.545440,         0.911575,         0.227451,         0.000168
    5, 6, 962133.5667, 1943377.824,         2.685887,         0.969345,         2.770826,        -0.007351,         0.028062,        -0.261954,         0.133343,         0.016956,         7.864300,         0.006445,         0.018511,         0.348158,        -0.033702,         0.025059,        -1.344942,        -0.018500,         0.032857,        -0.563059,        -0.096119,         0.635684,        -0.151206,         0.017936,         0.045306,         0.395890,        -0.572995,         0.367442,        -1.559417,        -0.005093,         0.000994,        -5.123909,         0.061474,         0.071475,         0.860075,         0.143080,         0.039995,         3.577443,         0.868806,         0.034049,        25.516363,         0.088577,         0.049881,         1.775754,         4.875213,         4.882272,        -0.007059,        -0.127397,         0.902559,         0.090881,         0.000003
    6, 7, 961857.3128, 1943231.828,         3.147790,         0.988536,         3.184294,        -0.029340,         0.028700,        -1.022311,         0.140372,         0.016932,         8.290119,         0.027605,         0.017825,         1.548667,        -0.047892,         0.024084,        -1.988502,        -0.015132,         0.031354,        -0.482616,        -0.386262,         0.640314,        -0.603239,         0.060537,         0.048340,         1.252308,        -0.577827,         0.379843,        -1.521228,        -0.003802,         0.000928,        -4.098260,         0.232715,         0.175183,         1.328412,         0.084904,         0.050566,         1.679064,         0.877965,         0.033349,        26.326418,         0.093944,         0.049338,         1.904094,         4.857039,         4.791761,         0.065278,         1.177834,         0.901862,         0.090547,         0.000265
    7, 8, 962106.2529, 1942949.488,         2.757609,         0.984765,         2.800272,        -0.013895,         0.026933,        -0.515898,         0.137585,         0.016767,         8.205692,         0.012196,         0.017538,         0.695418,        -0.038877,         0.023655,        -1.643466,        -0.012568,         0.031311,        -0.401391,        -0.180823,         0.641632,        -0.281817,         0.047400,         0.040281,         1.176752,        -0.480169,         0.362388,        -1.325012,        -0.004507,         0.000937,        -4.811292,         0.076168,         0.066059,         1.153038,         0.127167,         0.040577,         3.133987,         0.863028,         0.033906,        25.453219,         0.102588,         0.051154,         2.005475,         4.775913,         4.717165,         0.058748,         1.126194,         0.897161,         0.194298,         0.000587
    8, 9, 960584.4767, 1942901.699,         6.598426,         1.051544,         6.274986,        -0.090519,         0.029440,        -3.074749,         0.149174,         0.017253,         8.646440,         0.091144,         0.016231,         5.615248,        -0.098967,         0.022223,        -4.453270,        -0.012038,         0.027879,        -0.431809,        -2.183016,         0.645129,        -3.383847,         0.045451,         0.050416,         0.901524,        -1.428021,         0.724695,        -1.970513,         0.000102,         0.000831,         0.122979,         0.098029,         0.162381,         0.603695,        -0.044404,         0.056517,        -0.785672,         0.939514,         0.031837,        29.509712,         0.093379,         0.047732,         1.956295,         4.991215,         5.015076,        -0.023861,        -0.445369,         0.911636,         0.150134,         0.000067
    9, 10, 960857.4229, 1942935.199,         5.888340,         1.022328,         5.759739,        -0.078895,         0.029511,        -2.673351,         0.146950,         0.016808,         8.742939,         0.081099,         0.015973,         5.077299,        -0.082032,         0.021795,        -3.763765,        -0.012823,         0.027686,        -0.463165,        -1.861935,         0.635281,        -2.930883,         0.066924,         0.049996,         1.338570,        -1.217207,         0.656495,        -1.854098,        -0.000440,         0.000833,        -0.528505,         0.119966,         0.162890,         0.736484,        -0.025199,         0.055685,        -0.452528,         0.931233,         0.031497,        29.565998,         0.094730,         0.047578,         1.991052,         4.826399,         4.809171,         0.017228,         0.323185,         0.910155,         0.158620,         0.000038
