Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 956655.096, 1942488.8052,         0.112896,         1.690567,         0.066780,         0.021804,         0.052418,         0.415971,         0.211859,         0.022862,         9.266846,        -0.005764,         0.019381,        -0.297401,        -0.035423,         0.029623,        -1.195790,        -0.091011,         0.026209,        -3.472492,         0.954126,         0.890881,         1.070992,         0.105797,         0.046576,         2.271513,         1.642170,         1.560342,         1.052442,        -0.001358,         0.000919,        -1.477800,        -0.102851,         0.259499,        -0.396346,         0.117748,         0.094579,         1.244976,         1.221859,         0.041178,        29.672907,        -0.055923,         0.034503,        -1.620825,         4.734664,         4.790906,        -0.056242,        -0.821012,         0.937524,         0.104646,         0.000172
    1, 2, 950189.7071, 1944015.6738,         1.697283,         1.327758,         1.278307,        -0.092175,         0.049289,        -1.870108,         0.167984,         0.014527,        11.563696,        -0.023682,         0.019667,        -1.204139,        -0.023681,         0.033973,        -0.697047,        -0.050277,         0.026509,        -1.896597,         0.718992,         0.828614,         0.867705,        -0.066597,         0.056436,        -1.180033,        -3.202025,         1.287300,        -2.487396,        -0.004163,         0.002352,        -1.769517,         0.460379,         0.190718,         2.413933,         0.025038,         0.045315,         0.552535,         1.122734,         0.069893,        16.063613,        -0.048969,         0.037550,        -1.304105,         4.289352,         4.458071,        -0.168719,        -2.565944,         0.885918,         0.175105,         0.003052
    2, 3, 960960.4134, 1943974.3221,         4.072407,         1.253280,         3.249401,         0.051806,         0.043161,         1.200276,         0.230393,         0.017974,        12.817918,         0.040766,         0.017838,         2.285388,        -0.058146,         0.023703,        -2.453171,        -0.014334,         0.028396,        -0.504780,        -0.845689,         0.758125,        -1.115501,         0.017332,         0.043934,         0.394507,        -0.758258,         0.845024,        -0.897320,        -0.002639,         0.000659,        -4.006738,         0.492127,         0.179733,         2.738109,        -0.075790,         0.054759,        -1.384060,         1.151549,         0.033598,        34.274603,        -0.102039,         0.038556,        -2.646492,         5.068186,         4.829813,         0.238373,         3.802807,         0.944481,         0.250327,         0.010544
    3, 4, 959951.1562, 1944128.9068,         6.325820,         1.543183,         4.099202,        -0.018062,         0.043264,        -0.417488,         0.239299,         0.019396,        12.337677,         0.055491,         0.018610,         2.981770,        -0.081645,         0.026280,        -3.106736,        -0.026072,         0.027798,        -0.937921,        -1.918245,         0.880463,        -2.178677,        -0.047202,         0.060446,        -0.780883,        -2.031738,         1.341861,        -1.514119,        -0.001740,         0.000806,        -2.159201,         0.509065,         0.185843,         2.739224,        -0.111874,         0.062954,        -1.777075,         1.155173,         0.034214,        33.762761,        -0.040445,         0.047621,        -0.849301,         4.845098,         4.920183,        -0.075085,        -1.125389,         0.951904,         0.150696,         0.000491
    4, 5, 966299.3339, 1944525.5923,         2.584092,         1.123419,         2.300203,         0.122540,         0.046233,         2.650474,         0.156522,         0.018612,         8.409753,         0.023462,         0.023363,         1.004235,         0.030151,         0.027751,         1.086471,         0.005474,         0.031672,         0.172845,        -0.508341,         0.697244,        -0.729072,        -0.034354,         0.047083,        -0.729650,         0.577272,         0.391318,         1.475199,        -0.003541,         0.001256,        -2.818109,         0.027321,         0.047581,         0.574191,         0.182711,         0.049374,         3.700538,         1.003412,         0.047808,        20.988355,        -0.006823,         0.040033,        -0.170427,         4.655612,         4.696803,        -0.041191,        -0.596574,         0.897566,         0.090442,         0.000077
    5, 6, 959799.5345, 1944896.9193,         6.999558,         1.568257,         4.463273,        -0.044832,         0.042501,        -1.054838,         0.227311,         0.020789,        10.934190,         0.033337,         0.018641,         1.788357,        -0.046522,         0.025910,        -1.795515,         0.000030,         0.027432,         0.001102,        -2.450110,         0.858480,        -2.854008,        -0.086451,         0.066754,        -1.295058,        -3.955130,         2.101750,        -1.881827,        -0.002231,         0.000805,        -2.770107,         0.454884,         0.209078,         2.175670,        -0.056041,         0.068559,        -0.817419,         1.173727,         0.035860,        32.730433,         0.014460,         0.051924,         0.278482,         4.311625,         4.352459,        -0.040834,        -0.584077,         0.953774,         0.067467,         0.000054
    6, 7, 954840.6249, 1945225.4372,         3.068131,         1.751014,         1.752202,         0.079430,         0.044496,         1.785103,         0.151047,         0.019916,         7.584393,         0.051009,         0.024843,         2.053218,        -0.084330,         0.034877,        -2.417945,        -0.034468,         0.024959,        -1.380969,        -0.450998,         0.971314,        -0.464317,         0.057125,         0.056813,         1.005485,        -8.242429,         3.563023,        -2.313325,         0.000848,         0.001373,         0.617905,         0.494313,         0.167735,         2.946994,        -0.016508,         0.060701,        -0.271955,         1.103048,         0.047815,        23.069046,        -0.060154,         0.028110,        -2.139993,         5.233446,         5.204683,         0.028763,         0.464240,         0.919881,         0.267584,         0.000172
    7, 8, 951324.5534, 1945525.5364,         0.357746,         1.546419,         0.231338,        -0.020495,         0.047811,        -0.428657,         0.154499,         0.015406,        10.028734,        -0.022816,         0.025750,        -0.886052,         0.005252,         0.033546,         0.156558,        -0.101801,         0.022797,        -4.465567,         2.117815,         0.848061,         2.497243,        -0.242492,         0.082512,        -2.938867,        -3.768382,         1.783164,        -2.113312,        -0.005867,         0.002353,        -2.493306,        -0.068418,         0.136957,        -0.499554,         0.019667,         0.045316,         0.433996,         1.139438,         0.071273,        15.986949,        -0.083659,         0.037759,        -2.215578,         4.678518,         4.772033,        -0.093515,        -1.397340,         0.893382,         0.145487,         0.000726
    8, 9, 959244.9591, 1945663.7831,         7.051339,         1.868968,         3.772852,        -0.047537,         0.050650,        -0.938526,         0.258573,         0.024372,        10.609396,         0.018670,         0.022546,         0.828092,         0.063543,         0.028009,         2.268652,         0.043658,         0.030275,         1.442070,        -2.545871,         0.972995,        -2.616530,        -0.309993,         0.105150,        -2.948106,        -1.947093,         2.541535,        -0.766109,        -0.002855,         0.000861,        -3.317546,        -0.299094,         0.208857,        -1.432051,         0.170429,         0.075580,         2.254951,         1.108274,         0.038973,        28.437055,         0.004446,         0.048408,         0.091837,         4.982271,         4.882209,         0.100062,         1.620505,         0.950936,         0.272546,         0.002148
    9, 10, 941684.3759, 1945932.0352,         4.166353,         2.127210,         1.958599,        -0.089848,         0.059869,        -1.500753,         0.212081,         0.022853,         9.280080,         0.029271,         0.021480,         1.362724,        -0.128704,         0.039529,        -3.255927,         0.002769,         0.024852,         0.111401,        -1.311722,         1.140649,        -1.149979,         0.017673,         0.066752,         0.264756,         0.413511,         1.564855,         0.264249,        -0.001946,         0.001477,        -1.317596,         1.130500,         0.402465,         2.808936,         0.055050,         0.079993,         0.688180,         1.091200,         0.090289,        12.085600,        -0.017312,         0.050321,        -0.344030,         4.724276,         4.649273,         0.075003,         1.128673,         0.856963,         0.157460,         0.000520
