Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 956263.1394, 1942470.5298,         3.754381,         1.639108,         2.290502,        -0.067584,         0.049362,        -1.369136,         0.226104,         0.020710,        10.917814,         0.002003,         0.018751,         0.106835,        -0.030586,         0.032633,        -0.937278,        -0.025241,         0.031009,        -0.813985,        -0.878299,         0.860668,        -1.020486,         0.098968,         0.046029,         2.150128,        -1.802489,         1.768280,        -1.019346,         0.000556,         0.001172,         0.474735,         0.202212,         0.275944,         0.732802,         0.020353,         0.104563,         0.194651,         1.004581,         0.043649,        23.015018,        -0.028090,         0.033616,        -0.835608,         4.734800,         4.860064,        -0.125264,        -2.055339,         0.925396,         0.223581,         0.003125
    1, 2, 960960.4134, 1943974.3221,         6.399999,         1.216460,         5.261167,         0.153424,         0.038942,         3.939788,         0.186015,         0.018369,        10.126295,         0.060189,         0.018262,         3.295826,        -0.086565,         0.023613,        -3.665924,        -0.057270,         0.032048,        -1.787028,        -2.197962,         0.727967,        -3.019315,         0.062545,         0.052086,         1.200819,        -0.799523,         0.998868,        -0.800430,        -0.001737,         0.000900,        -1.929932,         0.750185,         0.204119,         3.675227,        -0.139752,         0.064938,        -2.152068,         1.067306,         0.036764,        29.031643,        -0.051447,         0.030353,        -1.694954,         5.038193,         4.876601,         0.161592,         2.692288,         0.928139,         0.246984,         0.006106
    2, 3, 966299.3339, 1944525.5923,         3.299163,         1.038117,         3.178027,         0.061977,         0.042503,         1.458167,         0.135705,         0.017895,         7.583590,         0.037195,         0.026619,         1.397283,         0.010113,         0.029616,         0.341478,        -0.005001,         0.033617,        -0.148760,        -1.153106,         0.642377,        -1.795063,        -0.025517,         0.045581,        -0.559831,         0.666801,         0.393728,         1.693557,        -0.001693,         0.001302,        -1.300555,         0.055478,         0.046313,         1.197881,         0.317926,         0.047006,         6.763547,         0.883968,         0.050772,        17.410474,        -0.069449,         0.052509,        -1.322603,         4.775694,         4.872844,        -0.097150,        -1.492842,         0.913562,         0.114747,         0.000742
    3, 4, 960251.1272, 1944678.5928,         8.382328,         1.382487,         6.063225,         0.094438,         0.038310,         2.465112,         0.180060,         0.019325,         9.317652,         0.054648,         0.018333,         2.980873,        -0.092792,         0.024647,        -3.764832,        -0.049754,         0.031070,        -1.601337,        -3.181971,         0.773636,        -4.113009,        -0.088802,         0.058527,        -1.517279,        -2.481164,         1.450087,        -1.711046,        -0.002177,         0.000873,        -2.495277,         0.459475,         0.217191,         2.115539,        -0.055488,         0.065549,        -0.846517,         1.075839,         0.038225,        28.145205,        -0.042958,         0.028740,        -1.494712,         5.110422,         5.033335,         0.077087,         1.334142,         0.927248,         0.302148,         0.001979
    4, 5, 959697.2476, 1944770.6249,         9.518903,         1.460810,         6.516180,         0.064614,         0.039021,         1.655874,         0.187023,         0.021174,         8.832661,         0.042524,         0.018110,         2.348105,        -0.095955,         0.025995,        -3.691301,        -0.053595,         0.030733,        -1.743871,        -3.791842,         0.790918,        -4.794228,        -0.138665,         0.070906,        -1.955624,        -5.121778,         2.277992,        -2.248374,        -0.001310,         0.000942,        -1.391079,         0.155307,         0.236374,         0.657040,        -0.001085,         0.071771,        -0.015116,         1.046550,         0.039275,        26.646820,        -0.030287,         0.029151,        -1.038960,         4.921461,         4.744457,         0.177004,         2.914424,         0.923321,         0.228969,         0.006479
    5, 6, 947937.8901, 1944856.5906,         2.562523,         1.597442,         1.604142,        -0.083783,         0.050622,        -1.655096,         0.100197,         0.018556,         5.399737,        -0.005542,         0.024520,        -0.226003,        -0.040328,         0.033256,        -1.212655,         0.094537,         0.030432,         3.106523,         0.723318,         0.904224,         0.799933,        -0.172078,         0.079975,        -2.151638,        -2.337944,         1.776755,        -1.315851,         0.003838,         0.002592,         1.480809,         0.263892,         0.241983,         1.090543,        -0.100507,         0.065817,        -1.527065,         1.033737,         0.074221,        13.927733,        -0.009759,         0.035995,        -0.271137,         4.417019,         4.415095,         0.001924,         0.031173,         0.854391,         0.203341,         0.000001
    6, 7, 954840.6249, 1945225.4372,         5.380096,         1.861148,         2.890742,         0.004619,         0.039576,         0.116700,         0.163542,         0.019434,         8.415061,         0.042485,         0.018968,         2.239861,        -0.078549,         0.037847,        -2.075432,        -0.063128,         0.031666,        -1.993567,        -1.252533,         1.056553,        -1.185490,        -0.061550,         0.056662,        -1.086263,       -14.408618,         4.707500,        -3.060779,         0.000897,         0.001629,         0.550797,        -0.019914,         0.243114,        -0.081910,         0.009539,         0.094348,         0.101102,         0.954197,         0.048190,        19.800711,        -0.072891,         0.036411,        -2.001860,         5.293021,         5.184848,         0.108173,         1.773204,         0.917564,         0.222088,         0.002306
    7, 8, 951324.5534, 1945525.5364,         1.783194,         1.440357,         1.238022,        -0.192892,         0.044592,        -4.325743,         0.112577,         0.018964,         5.936397,        -0.010290,         0.025821,        -0.398517,         0.034112,         0.037835,         0.901597,        -0.056671,         0.033229,        -1.705497,         1.718763,         0.832258,         2.065180,        -0.389471,         0.083493,        -4.664715,        -0.391323,         1.945718,        -0.201120,        -0.009433,         0.002422,        -3.894750,        -0.190414,         0.143700,        -1.325085,         0.072372,         0.051698,         1.399899,         0.990215,         0.070586,        14.028510,        -0.047718,         0.031539,        -1.512959,         4.679428,         4.716404,        -0.036976,        -0.579396,         0.919479,         0.148690,         0.000151
    8, 9, 941684.3759, 1945932.0352,         5.873941,         1.947454,         3.016216,        -0.184652,         0.049792,        -3.708434,         0.192881,         0.024508,         7.870018,         0.007925,         0.023534,         0.336732,        -0.182330,         0.035661,        -5.112896,        -0.017101,         0.027679,        -0.617825,        -2.107274,         1.061800,        -1.984625,         0.086085,         0.054592,         1.576892,         1.094595,         1.497590,         0.730904,         0.000093,         0.001315,         0.070679,         1.621005,         0.313440,         5.171666,         0.004273,         0.068681,         0.062219,         0.939566,         0.073867,        12.719626,        -0.072265,         0.028814,        -2.507991,         4.761593,         4.685869,         0.075724,         1.196817,         0.903875,         0.163192,         0.000717
    9, 10, 954028.0205, 1946525.9324,         3.430599,         1.696231,         2.022483,        -0.000052,         0.046845,        -0.001113,         0.126138,         0.021981,         5.738444,        -0.041819,         0.031532,        -1.326218,        -0.015469,         0.040927,        -0.377978,        -0.056987,         0.034025,        -1.674849,         0.205881,         0.965622,         0.213211,        -0.084227,         0.056232,        -1.497847,       -14.035192,         4.440646,        -3.160620,        -0.000256,         0.002252,        -0.113671,         0.176744,         0.095204,         1.856470,        -0.062573,         0.075619,        -0.827469,         1.019216,         0.056908,        17.910020,        -0.116516,         0.036359,        -3.204570,         5.078580,         5.005073,         0.073507,         1.230930,         0.904978,         0.254591,         0.001329
