Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         2.529835,         0.975686,         2.592878,        -0.012150,         0.028607,        -0.424721,         0.141914,         0.015024,         9.446099,        -0.009724,         0.019150,        -0.507777,        -0.042577,         0.023470,        -1.814074,        -0.019536,         0.031098,        -0.628202,         0.061907,         0.641485,         0.096506,        -0.030949,         0.046124,        -0.671000,        -0.155211,         0.377308,        -0.411364,        -0.005229,         0.001047,        -4.995738,        -0.034658,         0.045657,        -0.759086,         0.184539,         0.032871,         5.614063,         0.879158,         0.036810,        23.883401,         0.074202,         0.039322,         1.887059,         4.706687,         4.746428,        -0.039741,        -0.715113,         0.905528,         0.125405,         0.000160
    1, 2, 962576.2556, 1944199.8002,         2.721947,         1.005881,         2.706031,        -0.000151,         0.029155,        -0.005170,         0.128456,         0.015251,         8.422844,        -0.005185,         0.020312,        -0.255256,        -0.040873,         0.024796,        -1.648349,        -0.025519,         0.032540,        -0.784244,        -0.100886,         0.662162,        -0.152358,        -0.028215,         0.046454,        -0.607382,        -0.073073,         0.388880,        -0.187907,        -0.005547,         0.001158,        -4.791581,        -0.030090,         0.045480,        -0.661616,         0.192333,         0.031969,         6.016195,         0.882879,         0.039052,        22.607500,         0.083893,         0.046849,         1.790724,         5.054996,         5.063169,        -0.008173,        -0.148480,         0.908634,         0.142050,         0.000008
    2, 3, 961749.2586, 1942854.2381,         3.077466,         1.058634,         2.907015,        -0.033246,         0.029599,        -1.123193,         0.167629,         0.015769,        10.630233,         0.002566,         0.018091,         0.141826,        -0.049666,         0.021260,        -2.336148,        -0.021696,         0.030454,        -0.712404,        -0.249257,         0.683691,        -0.364575,         0.015161,         0.035697,         0.424699,        -0.002468,         0.396414,        -0.006226,        -0.004055,         0.000919,        -4.411684,         0.145401,         0.176269,         0.824883,         0.130048,         0.045783,         2.840515,         0.844500,         0.037964,        22.244989,         0.039577,         0.033341,         1.187027,         4.815418,         4.701024,         0.114394,         2.073645,         0.891838,         0.138157,         0.001504
    3, 4, 961493.89, 1942493.5085,         3.480132,         1.071243,         3.248685,        -0.036811,         0.029163,        -1.262262,         0.173305,         0.016159,        10.724887,         0.004533,         0.017835,         0.254151,        -0.051339,         0.020362,        -2.521354,        -0.016876,         0.029978,        -0.562938,        -0.493078,         0.685941,        -0.718834,         0.026283,         0.035410,         0.742258,         0.163393,         0.414174,         0.394503,        -0.003534,         0.000904,        -3.908497,         0.060415,         0.163118,         0.370378,         0.119565,         0.048563,         2.462088,         0.842090,         0.038510,        21.866509,         0.031278,         0.032256,         0.969690,         4.721228,         4.649600,         0.071628,         1.318821,         0.889697,         0.164623,         0.000748
    4, 5, 961233.2027, 1942230.3491,         3.819532,         1.094647,         3.489284,        -0.041475,         0.029808,        -1.391388,         0.176356,         0.017208,        10.248796,         0.007214,         0.018007,         0.400628,        -0.054609,         0.020240,        -2.698107,        -0.009414,         0.029885,        -0.315000,        -0.681400,         0.694647,        -0.980930,         0.034262,         0.038479,         0.890418,         0.331635,         0.495597,         0.669162,        -0.003124,         0.000940,        -3.324828,         0.011909,         0.159399,         0.074710,         0.105186,         0.053083,         1.981552,         0.838742,         0.039622,        21.168420,         0.025663,         0.032137,         0.798552,         4.861529,         4.732016,         0.129513,         2.485361,         0.889085,         0.230983,         0.004047
    5, 6, 962133.5667, 1943377.8241,         2.567268,         0.993057,         2.585217,        -0.022818,         0.029017,        -0.786357,         0.152864,         0.015100,        10.123774,        -0.008608,         0.018026,        -0.477521,        -0.043835,         0.022355,        -1.960842,        -0.015726,         0.029678,        -0.529877,         0.049502,         0.650113,         0.076144,        -0.019972,         0.042031,        -0.475176,        -0.149590,         0.377018,        -0.396773,        -0.004876,         0.000962,        -5.069086,        -0.009905,         0.050278,        -0.196999,         0.173584,         0.034795,         4.988785,         0.865651,         0.036218,        23.900895,         0.064014,         0.035272,         1.814839,         4.854541,         4.866745,        -0.012204,        -0.215479,         0.900402,         0.091567,         0.000010
    6, 7, 961857.3128, 1943231.8278,         2.819619,         1.016175,         2.774737,        -0.029845,         0.029962,        -0.996088,         0.164240,         0.015315,        10.723795,         0.001399,         0.017789,         0.078651,        -0.051966,         0.021647,        -2.400571,        -0.025398,         0.029551,        -0.859461,        -0.074819,         0.660230,        -0.113322,        -0.000006,         0.041036,        -0.000149,        -0.095193,         0.387896,        -0.245407,        -0.004204,         0.000904,        -4.651717,         0.205144,         0.175365,         1.169811,         0.134337,         0.044702,         3.005129,         0.856718,         0.036396,        23.538604,         0.045319,         0.034230,         1.323979,         4.879437,         4.825105,         0.054332,         0.961237,         0.898309,         0.095227,         0.000212
    7, 8, 962106.2529, 1942949.4875,         2.604753,         1.042498,         2.498568,        -0.029342,         0.028605,        -1.025772,         0.156290,         0.015712,         9.947333,        -0.008057,         0.018083,        -0.445536,        -0.041022,         0.022177,        -1.849723,        -0.010060,         0.030330,        -0.331682,         0.012277,         0.677691,         0.018115,         0.001397,         0.036051,         0.038739,        -0.148499,         0.381894,        -0.388849,        -0.004891,         0.000982,        -4.980186,         0.006794,         0.060237,         0.112791,         0.163032,         0.036777,         4.432995,         0.845917,         0.037994,        22.264599,         0.056371,         0.033847,         1.665491,         4.799102,         4.784624,         0.014478,         0.261696,         0.893917,         0.133278,         0.000023
    8, 9, 960584.4767, 1942901.6994,         5.359390,         1.070438,         5.006726,        -0.064118,         0.029589,        -2.166950,         0.187740,         0.016315,        11.507329,         0.035736,         0.017479,         2.044488,        -0.084110,         0.019352,        -4.346388,        -0.014580,         0.027400,        -0.532141,        -1.430783,         0.658020,        -2.174377,         0.021635,         0.041743,         0.518305,        -0.047507,         0.726936,        -0.065352,        -0.001242,         0.000864,        -1.436909,         0.084823,         0.150468,         0.563726,         0.021163,         0.054953,         0.385103,         0.887290,         0.032738,        27.102756,        -0.004015,         0.030638,        -0.131049,         5.057305,         5.075058,        -0.017753,        -0.336141,         0.903678,         0.210062,         0.000066
    9, 10, 960606.3806, 1942696.2666,         5.220646,         1.068119,         4.887701,        -0.060720,         0.028733,        -2.113287,         0.185217,         0.016610,        11.151007,         0.032893,         0.017461,         1.883784,        -0.081585,         0.019413,        -4.202681,        -0.009198,         0.027481,        -0.334692,        -1.376532,         0.657309,        -2.094194,         0.031018,         0.039391,         0.787437,         0.080685,         0.714625,         0.112905,        -0.001425,         0.000861,        -1.655730,         0.083382,         0.148352,         0.562055,         0.025578,         0.054679,         0.467779,         0.876849,         0.033689,        26.027381,         0.001110,         0.030413,         0.036489,         5.047802,         5.060369,        -0.012567,        -0.236121,         0.901461,         0.197742,         0.000030
