Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         2.464904,         0.939334,         2.624098,         0.020519,         0.031350,         0.654508,         0.197747,         0.016536,        11.958557,         0.000013,         0.019693,         0.000659,        -0.030468,         0.025544,        -1.192742,        -0.157470,         0.037250,        -4.227360,        -0.055422,         0.617627,        -0.089734,         0.072815,         0.039107,         1.861950,        -0.435057,         0.373806,        -1.163859,        -0.005286,         0.000984,        -5.372846,         0.023155,         0.036160,         0.640365,         0.170473,         0.031293,         5.447620,         0.865689,         0.035890,        24.120722,        -0.052554,         0.035127,        -1.496118,         4.586136,         4.615587,        -0.029451,        -0.527773,         0.908949,         0.178808,         0.000149
    1, 2, 961749.2586, 1942854.2381,         2.576424,         0.975728,         2.640515,        -0.008594,         0.032600,        -0.263606,         0.232023,         0.017476,        13.276550,        -0.004735,         0.016635,        -0.284647,        -0.039987,         0.022726,        -1.759503,        -0.183625,         0.036880,        -4.978964,         0.041958,         0.629038,         0.066702,         0.077897,         0.041781,         1.864410,        -0.531310,         0.374660,        -1.418111,        -0.004000,         0.000858,        -4.663591,         0.128384,         0.073631,         1.743613,         0.122023,         0.043099,         2.831201,         0.863660,         0.033016,        26.159068,        -0.059532,         0.033144,        -1.796164,         4.837030,         4.713141,         0.123889,         2.140231,         0.906188,         0.116332,         0.001484
    2, 3, 961493.89, 1942493.5085,         3.056220,         1.046532,         2.920330,        -0.020871,         0.032186,        -0.648444,         0.237361,         0.017711,        13.401998,        -0.000539,         0.016266,        -0.033149,        -0.045997,         0.021870,        -2.103142,        -0.179482,         0.036407,        -4.929907,        -0.184581,         0.662035,        -0.278808,         0.088070,         0.045619,         1.930560,        -0.434592,         0.388286,        -1.119257,        -0.003505,         0.000875,        -4.006567,         0.267735,         0.152288,         1.758083,         0.080585,         0.051359,         1.569043,         0.857125,         0.032966,        26.000223,        -0.061398,         0.032921,        -1.865033,         4.686928,         4.548613,         0.138315,         2.474535,         0.904746,         0.176056,         0.003220
    3, 4, 961233.2027, 1942230.3491,         3.300628,         1.051343,         3.139441,        -0.032546,         0.030279,        -1.074848,         0.236308,         0.017364,        13.609339,         0.002147,         0.015700,         0.136763,        -0.051407,         0.020811,        -2.470255,        -0.166120,         0.034952,        -4.752780,        -0.294984,         0.660049,        -0.446911,         0.092214,         0.046589,         1.979324,        -0.365731,         0.396686,        -0.921966,        -0.003089,         0.000853,        -3.621681,         0.228657,         0.148534,         1.539429,         0.064558,         0.051973,         1.242157,         0.852399,         0.032241,        26.438324,        -0.063809,         0.032455,        -1.966053,         4.866474,         4.737365,         0.129109,         2.324678,         0.904483,         0.186540,         0.003050
    4, 5, 961313.2771, 1943305.3987,         3.350849,         1.027318,         3.261743,        -0.032656,         0.032730,        -0.997721,         0.234254,         0.017477,        13.403162,         0.014806,         0.016430,         0.901188,        -0.056489,         0.022881,        -2.468874,        -0.181563,         0.036056,        -5.035606,        -0.345401,         0.648260,        -0.532812,         0.076310,         0.042115,         1.811936,        -0.342615,         0.471056,        -0.727335,        -0.003551,         0.000814,        -4.363021,         0.322262,         0.153334,         2.101703,         0.079227,         0.050197,         1.578322,         0.861663,         0.031787,        27.107669,        -0.066796,         0.032445,        -2.058722,         4.857332,         4.840617,         0.016715,         0.289395,         0.909114,         0.120256,         0.000028
    5, 6, 962133.5667, 1943377.8241,         2.353847,         0.929107,         2.533452,         0.010325,         0.031528,         0.327491,         0.214453,         0.016630,        12.895545,        -0.005594,         0.017929,        -0.311998,        -0.032035,         0.024110,        -1.328714,        -0.172586,         0.036646,        -4.709506,         0.080340,         0.608828,         0.131958,         0.068778,         0.037166,         1.850554,        -0.512616,         0.367885,        -1.393414,        -0.004796,         0.000886,        -5.410497,         0.022468,         0.035978,         0.624495,         0.161143,         0.033807,         4.766546,         0.867358,         0.034216,        25.349861,        -0.055395,         0.034000,        -1.629254,         4.868325,         4.871251,        -0.002926,        -0.049475,         0.907898,         0.077713,         0.000001
    6, 7, 962106.2529, 1942949.4875,         2.402907,         0.935269,         2.569213,         0.002376,         0.030682,         0.077454,         0.220286,         0.016832,        13.087166,        -0.008279,         0.016998,        -0.487065,        -0.027306,         0.023233,        -1.175307,        -0.174114,         0.036524,        -4.767063,         0.077352,         0.610366,         0.126730,         0.065582,         0.038369,         1.709249,        -0.511539,         0.364664,        -1.402769,        -0.004640,         0.000879,        -5.281136,         0.015919,         0.036521,         0.435879,         0.155216,         0.036927,         4.203363,         0.868701,         0.034174,        25.420171,        -0.055775,         0.033951,        -1.642781,         4.778599,         4.772226,         0.006373,         0.110855,         0.906365,         0.128372,         0.000004
    7, 8, 960584.4767, 1942901.6994,         4.290169,         1.075108,         3.990453,        -0.061348,         0.031459,        -1.950099,         0.236633,         0.017024,        13.899559,         0.027370,         0.015601,         1.754380,        -0.083139,         0.021865,        -3.802402,        -0.162519,         0.034330,        -4.734058,        -0.750780,         0.660140,        -1.137304,         0.071938,         0.049360,         1.457416,         0.002934,         0.801678,         0.003660,        -0.002383,         0.000862,        -2.764155,         0.242740,         0.148772,         1.631620,         0.032227,         0.054812,         0.587950,         0.855260,         0.031187,        27.423741,        -0.080272,         0.032474,        -2.471931,         5.054992,         5.003743,         0.051249,         0.928032,         0.908973,         0.195743,         0.000516
    8, 9, 960747.8202, 1942840.7862,         3.994153,         1.060629,         3.765834,        -0.053502,         0.031535,        -1.696608,         0.236429,         0.017117,        13.812137,         0.021295,         0.015563,         1.368345,        -0.074344,         0.021702,        -3.425747,        -0.164515,         0.034571,        -4.758765,        -0.623563,         0.657122,        -0.948930,         0.079853,         0.048086,         1.660627,        -0.030121,         0.718631,        -0.041914,        -0.002599,         0.000858,        -3.028817,         0.244185,         0.148718,         1.641935,         0.042557,         0.054099,         0.786649,         0.855290,         0.031323,        27.305142,        -0.075612,         0.032149,        -2.351963,         5.017033,         5.022414,        -0.005381,        -0.096625,         0.908216,         0.182082,         0.000005
    9, 10, 960331.6888, 1942674.6321,         4.503381,         1.089432,         4.133695,        -0.070962,         0.029664,        -2.392171,         0.236027,         0.016762,        14.081443,         0.029863,         0.015505,         1.926092,        -0.092981,         0.021387,        -4.347542,        -0.155033,         0.033347,        -4.649021,        -0.805949,         0.657948,        -1.224943,         0.063092,         0.049601,         1.271996,         0.022906,         0.841916,         0.027208,        -0.002207,         0.000850,        -2.596879,         0.251424,         0.147610,         1.703297,         0.018923,         0.054947,         0.344383,         0.848259,         0.030839,        27.506464,        -0.086738,         0.032911,        -2.635569,         5.005023,         4.989644,         0.015379,         0.279045,         0.908160,         0.198915,         0.000048
