Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         3.204238,         0.918210,         3.489656,         0.054756,         0.032871,         1.665784,         0.140148,         0.014508,         9.660099,        -0.049757,         0.019256,        -2.583935,        -0.025193,         0.026043,        -0.967375,        -0.003866,         0.033180,        -0.116523,        -0.110351,         0.601819,        -0.183363,        -0.048563,         0.044587,        -1.089171,        -0.446674,         0.351481,        -1.270836,        -0.005096,         0.001064,        -4.787982,        -0.064226,         0.036702,        -1.749922,         0.123910,         0.033676,         3.679441,         0.824415,         0.039032,        21.121316,         0.061903,         0.036580,         1.692277,         4.652442,         4.683143,        -0.030701,        -0.564401,         0.918556,         0.163641,         0.000139
    1, 2, 962576.2556, 1944199.8002,         3.628885,         0.948664,         3.825261,         0.070806,         0.034527,         2.050740,         0.127874,         0.015305,         8.355045,        -0.060007,         0.020461,        -2.932756,        -0.004504,         0.027597,        -0.163202,         0.007027,         0.035530,         0.197784,        -0.443954,         0.619710,        -0.716391,        -0.053879,         0.043479,        -1.239196,        -0.263231,         0.355864,        -0.739697,        -0.006527,         0.001264,        -5.165204,        -0.071982,         0.036330,        -1.981324,         0.134984,         0.032522,         4.150493,         0.841625,         0.041602,        20.230387,         0.074264,         0.038471,         1.930401,         5.056905,         5.048663,         0.008242,         0.154397,         0.915087,         0.194584,         0.000013
    2, 3, 961749.2586, 1942854.2381,         3.494312,         0.987942,         3.536959,         0.027528,         0.032482,         0.847492,         0.168751,         0.014966,        11.275536,        -0.013630,         0.018500,        -0.736733,        -0.071235,         0.025055,        -2.843100,        -0.025168,         0.031105,        -0.809144,        -0.247166,         0.638868,        -0.386881,         0.052242,         0.047054,         1.110247,        -0.435554,         0.370281,        -1.176278,        -0.002242,         0.000902,        -2.484923,         0.309156,         0.100595,         3.073281,         0.020043,         0.043555,         0.460170,         0.775340,         0.037382,        20.740727,         0.040812,         0.035922,         1.136120,         4.777910,         4.717648,         0.060262,         1.325130,         0.924100,         0.415412,         0.002787
    3, 4, 961493.89, 1942493.5085,         4.117724,         1.044806,         3.941139,         0.017909,         0.031449,         0.569477,         0.180608,         0.015549,        11.615267,         0.003544,         0.018619,         0.190346,        -0.087146,         0.024102,        -3.615685,        -0.032088,         0.029892,        -1.073456,        -0.613437,         0.670044,        -0.915518,         0.091558,         0.047911,         1.911017,        -0.274149,         0.389057,        -0.704649,        -0.001582,         0.000872,        -1.812819,         0.570689,         0.166204,         3.433667,        -0.034139,         0.047655,        -0.716372,         0.754935,         0.037101,        20.348211,         0.027374,         0.035412,         0.773021,         4.761113,         4.658731,         0.102382,         1.914875,         0.922753,         0.191942,         0.001945
    4, 5, 961233.2027, 1942230.3491,         4.424248,         1.078615,         4.101785,         0.015157,         0.030446,         0.497824,         0.184982,         0.015852,        11.669281,         0.011013,         0.018742,         0.587604,        -0.096036,         0.023508,        -4.085277,        -0.037753,         0.029368,        -1.285525,        -0.782939,         0.689658,        -1.135258,         0.106069,         0.049200,         2.155885,        -0.169930,         0.426415,        -0.398509,        -0.000914,         0.000873,        -1.047524,         0.554315,         0.164470,         3.370320,        -0.051000,         0.048311,        -1.055660,         0.750109,         0.036881,        20.338514,         0.017819,         0.035081,         0.507959,         4.855958,         4.729155,         0.126803,         2.395961,         0.920588,         0.208268,         0.003373
    5, 6, 962133.5667, 1943377.8241,         3.046439,         0.933238,         3.264377,         0.046666,         0.032826,         1.421643,         0.150245,         0.014536,        10.335883,        -0.039480,         0.018984,        -2.079682,        -0.041724,         0.025915,        -1.610050,        -0.013987,         0.032809,        -0.426309,         0.008248,         0.611218,         0.013495,        -0.019421,         0.046310,        -0.419370,        -0.517989,         0.356411,        -1.453346,        -0.003871,         0.000970,        -3.990353,        -0.028202,         0.039747,        -0.709542,         0.101287,         0.037256,         2.718684,         0.805577,         0.038445,        20.954247,         0.054389,         0.036239,         1.500824,         4.922549,         4.942532,        -0.019983,        -0.353595,         0.922488,         0.097240,         0.000030
    6, 7, 961857.3128, 1943231.8278,         3.228811,         0.959937,         3.363564,         0.034924,         0.033611,         1.039077,         0.161613,         0.014707,        10.988691,        -0.025173,         0.018681,        -1.347489,        -0.061964,         0.025754,        -2.406012,        -0.023392,         0.031939,        -0.732407,        -0.075868,         0.623613,        -0.121659,         0.016681,         0.047319,         0.352525,        -0.490121,         0.367206,        -1.334729,        -0.002871,         0.000926,        -3.099208,         0.179118,         0.073506,         2.436791,         0.054819,         0.041164,         1.331708,         0.792542,         0.037587,        21.085642,         0.047762,         0.036289,         1.316169,         4.805330,         4.774729,         0.030601,         0.542621,         0.924067,         0.101038,         0.000074
    7, 8, 962106.2529, 1942949.4875,         3.119081,         0.954626,         3.267331,         0.043204,         0.032400,         1.333432,         0.154063,         0.014761,        10.437477,        -0.032705,         0.018978,        -1.723335,        -0.045679,         0.025646,        -1.781099,        -0.015800,         0.032599,        -0.484657,        -0.056776,         0.624781,        -0.090873,         0.010938,         0.046955,         0.232952,        -0.503035,         0.359157,        -1.400599,        -0.003306,         0.000964,        -3.429531,        -0.007314,         0.041263,        -0.177261,         0.082683,         0.039905,         2.072006,         0.790459,         0.039009,        20.263383,         0.051856,         0.036157,         1.434177,         4.803950,         4.797469,         0.006481,         0.117639,         0.923438,         0.142146,         0.000005
    8, 9, 960584.4767, 1942901.6994,         5.568375,         1.086965,         5.122865,        -0.006417,         0.035719,        -0.179656,         0.196193,         0.015790,        12.424996,         0.031614,         0.018376,         1.720466,        -0.134993,         0.024187,        -5.581119,        -0.053611,         0.028173,        -1.902906,        -1.265181,         0.677893,        -1.866342,         0.102279,         0.054533,         1.875544,        -0.552882,         0.719684,        -0.768228,         0.000497,         0.000885,         0.561469,         0.558106,         0.164522,         3.392282,        -0.117802,         0.052419,        -2.247293,         0.771510,         0.033640,        22.934491,         0.004348,         0.035359,         0.122959,         5.008589,         4.973113,         0.035476,         0.656644,         0.924258,         0.174934,         0.000204
    9, 10, 960747.8202, 1942840.7862,         5.241451,         1.081161,         4.847984,         0.003743,         0.036595,         0.102280,         0.193859,         0.015831,        12.245402,         0.025315,         0.018602,         1.360876,        -0.127302,         0.024262,        -5.247045,        -0.051760,         0.028814,        -1.796344,        -1.132326,         0.679740,        -1.665821,         0.111482,         0.054322,         2.052223,        -0.384450,         0.700422,        -0.548884,         0.000201,         0.000911,         0.220368,         0.578662,         0.167529,         3.454101,        -0.105040,         0.052804,        -1.989270,         0.767090,         0.034588,        22.177896,         0.008979,         0.035656,         0.251829,         4.892095,         4.935137,        -0.043042,        -0.800233,         0.923855,         0.182220,         0.000319
