Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         2.438747,         0.962234,         2.534462,         0.076443,         0.033087,         2.310363,         0.155826,         0.016215,         9.610241,        -0.020518,         0.018732,        -1.095339,        -0.043932,         0.023137,        -1.898783,        -0.105338,         0.036818,        -2.861053,         0.145946,         0.634504,         0.230015,         0.007937,         0.052402,         0.151469,        -0.670674,         0.372122,        -1.802295,        -0.006267,         0.001195,        -5.242596,         0.345708,         0.128701,         2.686134,         0.155016,         0.038643,         4.011467,         0.840371,         0.043844,        19.167174,         0.004910,         0.037905,         0.129525,         4.650502,         4.684137,        -0.033635,        -0.678403,         0.925235,         0.224169,         0.000220
    1, 2, 962576.2556, 1944199.8002,         2.686370,         0.993726,         2.703331,         0.094403,         0.033598,         2.809803,         0.139554,         0.016314,         8.554009,        -0.018457,         0.019311,        -0.955785,        -0.035630,         0.023486,        -1.517075,        -0.089995,         0.037890,        -2.375130,        -0.167165,         0.654009,        -0.255600,         0.006725,         0.046297,         0.145249,        -0.448137,         0.372504,        -1.203039,        -0.007476,         0.001122,        -6.660937,        -0.001794,         0.042766,        -0.041951,         0.212614,         0.032035,         6.636971,         0.857732,         0.046343,        18.508523,        -0.007395,         0.037939,        -0.194909,         5.068186,         5.034765,         0.033421,         0.692806,         0.935642,         0.265549,         0.000287
    2, 3, 961749.2586, 1942854.2381,         2.850135,         1.043998,         2.730019,         0.054429,         0.032034,         1.699122,         0.193169,         0.016770,        11.519028,         0.001144,         0.019738,         0.057950,        -0.080126,         0.021882,        -3.661736,        -0.136359,         0.036697,        -3.715804,        -0.025169,         0.680753,        -0.036972,         0.151526,         0.045446,         3.334213,        -0.794414,         0.497947,        -1.595379,        -0.002288,         0.001216,        -1.882077,         0.642552,         0.189089,         3.398154,         0.001968,         0.047118,         0.041771,         0.801146,         0.043837,        18.275398,        -0.013075,         0.032576,        -0.401375,         4.843777,         4.738479,         0.105298,         2.093060,         0.897829,         0.201217,         0.001823
    3, 4, 961493.89, 1942493.5085,         3.362741,         1.060910,         3.169675,         0.047719,         0.031879,         1.496869,         0.202338,         0.017019,        11.888849,         0.012564,         0.019142,         0.656372,        -0.088402,         0.020787,        -4.252690,        -0.135253,         0.036540,        -3.701507,        -0.331561,         0.683848,        -0.484846,         0.180415,         0.047638,         3.787214,        -0.666332,         0.586070,        -1.136950,        -0.001210,         0.001095,        -1.104285,         0.675187,         0.179157,         3.768695,        -0.039800,         0.050972,        -0.780825,         0.807084,         0.043516,        18.546868,        -0.020742,         0.031169,        -0.665469,         4.793976,         4.724336,         0.069640,         1.359781,         0.899031,         0.172183,         0.000635
    4, 5, 961233.2027, 1942230.3491,         3.780551,         1.028071,         3.677324,         0.040304,         0.031432,         1.282255,         0.206927,         0.016692,        12.396792,         0.023783,         0.017797,         1.336309,        -0.094712,         0.019568,        -4.840103,        -0.116222,         0.034220,        -3.396337,        -0.580953,         0.650978,        -0.892431,         0.174047,         0.046091,         3.776163,        -0.467532,         0.640440,        -0.730018,        -0.001052,         0.000928,        -1.133890,         0.685298,         0.167973,         4.079805,        -0.057303,         0.051697,        -1.108433,         0.824806,         0.041037,        20.099325,        -0.028430,         0.029535,        -0.962606,         4.887612,         4.787186,         0.100426,         2.018236,         0.905867,         0.218543,         0.001882
    5, 6, 961125.8317, 1943198.7718,         4.218333,         0.936608,         4.503840,         0.012202,         0.030037,         0.406220,         0.203163,         0.013973,        14.539876,         0.043220,         0.016141,         2.677703,        -0.099680,         0.018668,        -5.339618,        -0.124070,         0.028853,        -4.300096,        -0.729618,         0.579767,        -1.258467,         0.147569,         0.046313,         3.186356,        -1.214073,         0.649026,        -1.870608,        -0.000760,         0.000939,        -0.809282,         0.617234,         0.147456,         4.185898,        -0.071942,         0.048986,        -1.468636,         0.840371,         0.036130,        23.259614,        -0.045051,         0.026770,        -1.682856,         5.107210,         5.158238,        -0.051028,        -1.170173,         0.906487,         0.399821,         0.001507
    6, 7, 961313.2771, 1943305.3987,         3.645829,         0.918112,         3.971007,         0.019150,         0.030429,         0.629344,         0.198942,         0.013819,        14.396011,         0.032727,         0.016382,         1.997733,        -0.093729,         0.019003,        -4.932366,        -0.125997,         0.029203,        -4.314526,        -0.413503,         0.574386,        -0.719904,         0.144473,         0.047682,         3.029926,        -1.214871,         0.634617,        -1.914337,        -0.001317,         0.000965,        -1.364432,         0.626574,         0.150615,         4.160106,        -0.048236,         0.048312,        -0.998421,         0.833108,         0.036472,        22.842311,        -0.044152,         0.026838,        -1.645105,         4.885021,         4.889794,        -0.004773,        -0.090709,         0.905480,         0.126271,         0.000002
    7, 8, 962133.5667, 1943377.8241,         2.129406,         0.981032,         2.170578,         0.049743,         0.032066,         1.551258,         0.176131,         0.016311,        10.798354,        -0.014943,         0.019045,        -0.784606,        -0.060571,         0.022592,        -2.681084,        -0.117242,         0.035616,        -3.291791,         0.484989,         0.648065,         0.748364,         0.016111,         0.050087,         0.321670,        -0.858347,         0.384969,        -2.229651,        -0.004722,         0.001247,        -3.785906,         0.753571,         0.222453,         3.387556,         0.094263,         0.042880,         2.198280,         0.813947,         0.042476,        19.162672,        -0.001584,         0.034952,        -0.045318,         4.864140,         4.871989,        -0.007849,        -0.148835,         0.912985,         0.122286,         0.000005
    8, 9, 961857.3128, 1943231.8278,         2.448627,         0.962553,         2.543887,         0.050230,         0.032061,         1.566700,         0.187442,         0.015382,        12.185882,        -0.001870,         0.018246,        -0.102482,        -0.076104,         0.021473,        -3.544197,        -0.127707,         0.034016,        -3.754387,         0.249642,         0.624907,         0.399487,         0.091499,         0.045015,         2.032655,        -0.881397,         0.444643,        -1.982259,        -0.003407,         0.001129,        -3.017388,         0.690202,         0.184845,         3.733954,         0.042799,         0.043450,         0.985011,         0.811339,         0.040947,        19.814232,        -0.016101,         0.031254,        -0.515166,         4.939444,         4.868923,         0.070521,         1.326203,         0.905513,         0.107569,         0.000350
    9, 10, 962106.2529, 1942949.4875,         2.250708,         1.007524,         2.233900,         0.041756,         0.029666,         1.407572,         0.185256,         0.016497,        11.229495,        -0.015121,         0.019604,        -0.771324,        -0.061840,         0.021906,        -2.823029,        -0.112846,         0.035235,        -3.202651,         0.349679,         0.663007,         0.527414,         0.071889,         0.041915,         1.715112,        -0.780687,         0.377274,        -2.069286,        -0.004368,         0.001201,        -3.636620,         0.526529,         0.188452,         2.793964,         0.078396,         0.042924,         1.826374,         0.811087,         0.042591,        19.043472,        -0.007816,         0.034063,        -0.229449,         4.822952,         4.804840,         0.018112,         0.348859,         0.908592,         0.149295,         0.000035
