Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 956263.1394, 1942470.5298,         0.344040,         1.564013,         0.219973,        -0.133985,         0.042270,        -3.169723,         0.180033,         0.018834,         9.558980,        -0.011219,         0.019501,        -0.575287,        -0.004472,         0.029823,        -0.149940,         0.020768,         0.025613,         0.810816,         0.695963,         0.841690,         0.826864,         0.124106,         0.046561,         2.665456,        -1.145329,         1.651969,        -0.693311,        -0.001576,         0.001150,        -1.370286,        -0.379042,         0.222026,        -1.707195,         0.229021,         0.091493,         2.503141,         1.023652,         0.043056,        23.775026,        -0.048230,         0.042477,        -1.135448,         4.795387,         4.884031,        -0.088644,        -1.535095,         0.902586,         0.204384,         0.001306
    1, 2, 960960.4134, 1943974.3221,         6.959391,         1.213406,         5.735420,         0.034096,         0.039644,         0.860065,         0.192189,         0.016953,        11.336329,         0.021506,         0.019461,         1.105102,        -0.074672,         0.028507,        -2.619391,         0.020821,         0.032300,         0.644609,        -1.995857,         0.717162,        -2.782992,        -0.051273,         0.059931,        -0.855536,        -2.905350,         1.011466,        -2.872415,        -0.000507,         0.000992,        -0.511166,         0.545304,         0.190485,         2.862711,        -0.160524,         0.059388,        -2.702976,         0.984160,         0.037149,        26.492119,        -0.081286,         0.039914,        -2.036505,         5.037052,         4.865701,         0.171351,         3.126850,         0.908706,         0.283463,         0.008345
    2, 3, 961188.3749, 1944058.9059,         5.911486,         1.134302,         5.211564,         0.048902,         0.038672,         1.264557,         0.187512,         0.016643,        11.266601,         0.005828,         0.019229,         0.303101,        -0.067476,         0.027943,        -2.414735,         0.024760,         0.031446,         0.787395,        -1.523130,         0.690149,        -2.206957,        -0.022538,         0.054439,        -0.414007,        -2.380756,         0.932740,        -2.552432,        -0.001374,         0.000928,        -1.480594,         0.571053,         0.193146,         2.956586,        -0.122199,         0.056462,        -2.164262,         0.974614,         0.037519,        25.976643,        -0.059379,         0.039812,        -1.491478,         5.041393,         4.906926,         0.134467,         2.350970,         0.906837,         0.219425,         0.003352
    3, 4, 957556.8817, 1944254.2408,         3.890755,         2.316930,         1.679271,        -0.017695,         0.042168,        -0.419620,         0.157862,         0.020816,         7.583670,        -0.004847,         0.019037,        -0.254620,        -0.019841,         0.026321,        -0.753810,        -0.029272,         0.031351,        -0.933688,        -0.845280,         1.294155,        -0.653151,         0.012581,         0.091889,         0.136913,        -4.610901,         3.534959,        -1.304372,        -0.000862,         0.001152,        -0.747931,        -0.248765,         0.366519,        -0.678724,         0.105976,         0.133413,         0.794344,         0.983109,         0.044647,        22.019740,        -0.052442,         0.034296,        -1.529105,         5.077359,         5.055685,         0.021674,         0.402656,         0.932218,         0.308675,         0.000156
    4, 5, 966299.3339, 1944525.5923,         4.283231,         0.966301,         4.432603,         0.016605,         0.043012,         0.386053,         0.114828,         0.018890,         6.078790,        -0.022945,         0.026843,        -0.854768,        -0.022581,         0.027760,        -0.813445,         0.021378,         0.029105,         0.734534,        -1.170843,         0.618519,        -1.892979,        -0.059989,         0.042894,        -1.398539,         0.548818,         0.361760,         1.517076,        -0.002050,         0.001200,        -1.708634,         0.012002,         0.046901,         0.255896,         0.192859,         0.045192,         4.267549,         0.900510,         0.053856,        16.720835,        -0.088520,         0.045639,        -1.939574,         4.664384,         4.727976,        -0.063592,        -1.029705,         0.917612,         0.089967,         0.000226
    5, 6, 955265.2653, 1945338.949,        11.164362,         1.856758,         6.012825,        -0.038970,         0.036649,        -1.063334,         0.089661,         0.017635,         5.084373,         0.075569,         0.025075,         3.013765,         0.010931,         0.031397,         0.348155,         0.086858,         0.025054,         3.466798,        -4.468752,         1.063071,        -4.203625,        -0.075493,         0.055265,        -1.366023,       -11.356326,         4.615502,        -2.460475,         0.002544,         0.001527,         1.666734,         0.017402,         0.324676,         0.053599,        -0.224534,         0.109258,        -2.055086,         0.909910,         0.045414,        20.035991,        -0.034982,         0.039756,        -0.879940,         5.235528,         4.910116,         0.325412,         6.038762,         0.839065,         0.307133,         0.034876
    6, 7, 951324.5534, 1945525.5364,         2.564993,         1.657515,         1.547493,        -0.208676,         0.044924,        -4.645048,         0.114370,         0.016893,         6.770094,         0.008798,         0.026743,         0.328998,        -0.010730,         0.036032,        -0.297783,        -0.031757,         0.024569,        -1.292551,         1.307470,         0.901556,         1.450238,        -0.405509,         0.089678,        -4.521848,        -0.308958,         1.980792,        -0.155977,        -0.007339,         0.002580,        -2.844819,        -0.214298,         0.136126,        -1.574261,         0.041645,         0.052356,         0.795417,         1.030698,         0.065328,        15.777164,        -0.021502,         0.046300,        -0.464397,         4.653213,         4.707221,        -0.054008,        -0.909999,         0.914569,         0.159557,         0.000339
    7, 8, 959244.9591, 1945663.7831,         0.223828,         1.853880,         0.120735,        -0.105783,         0.043467,        -2.433633,         0.204596,         0.022482,         9.100329,         0.030148,         0.020749,         1.453015,        -0.050301,         0.032806,        -1.533277,        -0.024456,         0.031323,        -0.780758,         1.011400,         0.950966,         1.063550,         0.184812,         0.102479,         1.803423,        -1.275513,         2.372296,        -0.537670,        -0.002555,         0.001100,        -2.323293,         0.367186,         0.221654,         1.656574,         0.049324,         0.082356,         0.598909,         1.065779,         0.043037,        24.764482,        -0.063100,         0.038235,        -1.650317,         4.854295,         4.783872,         0.070423,         1.408557,         0.921763,         0.403572,         0.002896
    8, 9, 948880.201, 1945727.8713,         3.217638,         1.631098,         1.972682,        -0.147746,         0.041317,        -3.575936,         0.127242,         0.017016,         7.477728,         0.009175,         0.018875,         0.486100,        -0.082443,         0.032555,        -2.532432,         0.028473,         0.032871,         0.866211,         0.189415,         0.809040,         0.234124,        -0.088635,         0.098433,        -0.900461,        -2.531169,         1.175915,        -2.152510,         0.001315,         0.002517,         0.522501,         0.476323,         0.224601,         2.120755,        -0.070769,         0.071522,        -0.989471,         1.004510,         0.070722,        14.203673,        -0.031014,         0.051131,        -0.606549,         4.562293,         4.594188,        -0.031895,        -0.557020,         0.947737,         0.217673,         0.000186
    9, 10, 941684.3759, 1945932.0352,         4.556977,         1.907200,         2.389354,        -0.238057,         0.039822,        -5.978039,         0.192871,         0.019701,         9.790005,        -0.006673,         0.018368,        -0.363312,        -0.099036,         0.034501,        -2.870489,        -0.025001,         0.024923,        -1.003163,        -1.281097,         1.037817,        -1.234415,         0.077688,         0.047367,         1.640148,         1.969169,         1.290214,         1.526235,        -0.000271,         0.001392,        -0.194908,         1.133641,         0.333823,         3.395932,         0.004418,         0.069832,         0.063264,         0.942275,         0.081178,        11.607485,         0.007755,         0.032857,         0.236028,         4.694605,         4.630502,         0.064103,         1.066865,         0.868679,         0.138578,         0.000395
