Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         2.044251,         0.928347,         2.202032,        -0.024382,         0.027712,        -0.879843,         0.156232,         0.015040,        10.387496,         0.018626,         0.017797,         1.046581,        -0.062040,         0.022948,        -2.703550,        -0.068763,         0.032751,        -2.099584,         0.270988,         0.602062,         0.450099,         0.022894,         0.040267,         0.568558,        -0.631146,         0.345225,        -1.828217,        -0.005934,         0.001037,        -5.722406,         0.012070,         0.035313,         0.341807,         0.190862,         0.030464,         6.265152,         0.852004,         0.036872,        23.107144,         0.062642,         0.038821,         1.613623,         4.601279,         4.642998,        -0.041719,        -0.775737,         0.907113,         0.153700,         0.000269
    1, 2, 961749.2586, 1942854.2381,         2.703143,         0.962108,         2.809605,        -0.029050,         0.027794,        -1.045192,         0.178050,         0.016142,        11.029981,         0.022828,         0.016133,         1.414964,        -0.072842,         0.021060,        -3.458751,        -0.090291,         0.031454,        -2.870578,         0.006149,         0.620859,         0.009904,         0.049175,         0.040078,         1.226958,        -0.640656,         0.354928,        -1.805032,        -0.003845,         0.000849,        -4.531505,         0.214960,         0.071074,         3.024455,         0.109947,         0.038260,         2.873701,         0.847065,         0.037051,        22.862096,         0.072970,         0.041313,         1.766281,         4.860903,         4.740565,         0.120338,         2.432855,         0.898082,         0.284101,         0.005783
    2, 3, 961493.89, 1942493.5085,         3.545466,         1.010350,         3.509146,        -0.033999,         0.027387,        -1.241400,         0.188249,         0.016844,        11.176341,         0.036127,         0.016242,         2.224242,        -0.079330,         0.020486,        -3.872325,        -0.101562,         0.031201,        -3.255068,        -0.465459,         0.645928,        -0.720604,         0.104503,         0.045924,         2.275551,        -0.527226,         0.366076,        -1.440209,        -0.002628,         0.000852,        -3.085034,         0.585353,         0.167441,         3.495877,         0.011671,         0.051801,         0.225303,         0.847331,         0.037185,        22.786768,         0.075818,         0.042302,         1.792301,         5.025255,         4.928817,         0.096438,         1.760127,         0.894622,         0.121609,         0.001056
    3, 4, 961233.2027, 1942230.3491,         4.022799,         1.011355,         3.977634,        -0.034267,         0.025943,        -1.320876,         0.189043,         0.016733,        11.297921,         0.038237,         0.015566,         2.456446,        -0.079814,         0.019676,        -4.056470,        -0.097756,         0.030071,        -3.250818,        -0.737669,         0.640852,        -1.151076,         0.119129,         0.047221,         2.522830,        -0.452576,         0.371881,        -1.216991,        -0.002067,         0.000828,        -2.495765,         0.539783,         0.161276,         3.346959,        -0.013165,         0.053339,        -0.246823,         0.849391,         0.035961,        23.619497,         0.071786,         0.041183,         1.743104,         4.869350,         4.725112,         0.144238,         2.759374,         0.894124,         0.200511,         0.004702
    4, 5, 961165.8318, 1943286.0279,         4.030612,         1.009666,         3.992026,        -0.053199,         0.031501,        -1.688793,         0.184891,         0.016578,        11.152703,         0.053536,         0.016252,         3.294150,        -0.088646,         0.021023,        -4.216587,        -0.099441,         0.031998,        -3.107701,        -0.694553,         0.639165,        -1.086656,         0.094916,         0.050595,         1.876014,        -0.965618,         0.533885,        -1.808663,        -0.002246,         0.000821,        -2.734934,         0.578431,         0.178423,         3.241897,        -0.008547,         0.054944,        -0.155551,         0.858376,         0.036249,        23.679671,         0.074613,         0.036712,         2.032412,         5.153815,         5.124680,         0.029135,         0.557896,         0.899347,         0.201986,         0.000194
    5, 6, 962133.5667, 1943377.8241,         2.123039,         0.936106,         2.267948,        -0.023637,         0.027942,        -0.845929,         0.164161,         0.015461,        10.617710,         0.014512,         0.017163,         0.845527,        -0.063949,         0.022435,        -2.850381,        -0.078009,         0.032516,        -2.399080,         0.298844,         0.609416,         0.490377,         0.017029,         0.039140,         0.435095,        -0.688051,         0.348877,        -1.972190,        -0.005355,         0.000971,        -5.516660,         0.024053,         0.037475,         0.641847,         0.176654,         0.032318,         5.466178,         0.845531,         0.037256,        22.695010,         0.068228,         0.040933,         1.666822,         4.818131,         4.852577,        -0.034446,        -0.624308,         0.902829,         0.109262,         0.000118
    6, 7, 961857.3128, 1943231.8278,         2.430981,         0.941677,         2.581544,        -0.031258,         0.028102,        -1.112306,         0.171996,         0.015657,        10.984975,         0.021942,         0.016448,         1.334018,        -0.071073,         0.021511,        -3.304057,        -0.084470,         0.031657,        -2.668240,         0.150376,         0.608998,         0.246924,         0.030127,         0.038694,         0.778588,        -0.687746,         0.351574,        -1.956192,        -0.004456,         0.000867,        -5.140926,         0.128471,         0.053353,         2.407969,         0.141914,         0.034448,         4.119651,         0.848918,         0.036580,        23.207146,         0.069378,         0.039320,         1.764456,         4.814600,         4.747313,         0.067287,         1.210291,         0.901047,         0.095618,         0.000381
    7, 8, 962106.2529, 1942949.4875,         2.234763,         0.937704,         2.383230,        -0.020551,         0.027484,        -0.747765,         0.167619,         0.015605,        10.741399,         0.011291,         0.016588,         0.680711,        -0.062509,         0.021787,        -2.869080,        -0.080132,         0.031810,        -2.519064,         0.252200,         0.610557,         0.413066,         0.020086,         0.038404,         0.523019,        -0.657877,         0.347573,        -1.892773,        -0.004976,         0.000940,        -5.291493,         0.023313,         0.037045,         0.629322,         0.166959,         0.034119,         4.893446,         0.841756,         0.037748,        22.299553,         0.071261,         0.043211,         1.649140,         4.849889,         4.793888,         0.056001,         1.047737,         0.900157,         0.164082,         0.000531
    8, 9, 960584.4767, 1942901.6994,         5.234790,         1.030381,         5.080442,        -0.055404,         0.029986,        -1.847682,         0.187446,         0.016600,        11.291659,         0.059825,         0.015167,         3.944383,        -0.097201,         0.020155,        -4.822626,        -0.093767,         0.030523,        -3.071947,        -1.306511,         0.639930,        -2.041646,         0.099522,         0.054078,         1.840359,        -1.069182,         0.799076,        -1.338022,        -0.000987,         0.000856,        -1.153452,         0.478898,         0.164064,         2.918968,        -0.060509,         0.058571,        -1.033087,         0.861975,         0.035139,        24.530597,         0.072663,         0.038035,         1.910434,         5.113943,         5.149031,        -0.035088,        -0.678273,         0.899688,         0.216953,         0.000314
    9, 10, 960857.4229, 1942935.199,         4.679785,         1.017104,         4.601087,        -0.050786,         0.030179,        -1.682833,         0.187164,         0.016607,        11.270018,         0.054413,         0.015453,         3.521285,        -0.091404,         0.020304,        -4.501819,        -0.096319,         0.030760,        -3.131313,        -1.042264,         0.639049,        -1.630962,         0.106968,         0.052047,         2.055220,        -0.925253,         0.628422,        -1.472343,        -0.001472,         0.000835,        -1.762938,         0.515774,         0.166953,         3.089334,        -0.039735,         0.057068,        -0.696271,         0.859488,         0.035485,        24.220950,         0.073592,         0.037694,         1.952388,         4.799341,         4.809842,        -0.010501,        -0.197263,         0.898292,         0.170770,         0.000020
