Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         1.747606,         0.919461,         1.900685,         0.029070,         0.029409,         0.988451,         0.159214,         0.014813,        10.748009,        -0.043636,         0.016630,        -2.624028,        -0.054216,         0.023005,        -2.356662,        -0.071924,         0.031338,        -2.295132,         0.771855,         0.601705,         1.282779,        -0.033930,         0.044738,        -0.758419,        -0.934896,         0.364720,        -2.563323,        -0.005278,         0.001129,        -4.674260,         0.063941,         0.059918,         1.067129,         0.131831,         0.031090,         4.240291,         0.909958,         0.037247,        24.430307,         0.012310,         0.035553,         0.346228,         4.631094,         4.665930,        -0.034836,        -0.703138,         0.915433,         0.210191,         0.000254
    1, 2, 962576.2556, 1944199.8002,         2.030950,         0.954311,         2.128185,         0.031748,         0.030221,         1.050542,         0.139132,         0.014720,         9.451968,        -0.038386,         0.017029,        -2.254169,        -0.041622,         0.023976,        -1.735970,        -0.066752,         0.031972,        -2.087846,         0.526677,         0.624123,         0.843868,        -0.056488,         0.040424,        -1.397401,        -0.784609,         0.371148,        -2.114003,        -0.005998,         0.001149,        -5.221131,        -0.053935,         0.037195,        -1.450063,         0.166305,         0.028227,         5.891729,         0.928618,         0.038832,        23.913669,         0.032435,         0.043425,         0.746907,         5.079859,         5.077184,         0.002675,         0.053614,         0.922596,         0.199015,         0.000001
    2, 3, 961749.2586, 1942854.2381,         2.371991,         1.014252,         2.338660,         0.010448,         0.028992,         0.360387,         0.195014,         0.015337,        12.715323,        -0.019239,         0.016144,        -1.191723,        -0.087481,         0.021026,        -4.160534,        -0.085656,         0.029714,        -2.882693,         0.412765,         0.662494,         0.623047,         0.084485,         0.042135,         2.005070,        -0.845026,         0.434452,        -1.945039,        -0.002033,         0.000997,        -2.037936,         0.422219,         0.172480,         2.447922,         0.003994,         0.041813,         0.095530,         0.876101,         0.038902,        22.520473,        -0.034198,         0.030021,        -1.139141,         4.836577,         4.695445,         0.141132,         2.717060,         0.890889,         0.131850,         0.002162
    3, 4, 961493.89, 1942493.5085,         3.233802,         1.060506,         3.049302,         0.005861,         0.029540,         0.198411,         0.196384,         0.015725,        12.488411,        -0.000672,         0.015745,        -0.042682,        -0.090193,         0.020469,        -4.406401,        -0.087123,         0.029321,        -2.971398,        -0.154888,         0.687151,        -0.225407,         0.136502,         0.048602,         2.808560,        -0.643641,         0.507908,        -1.267240,        -0.000651,         0.000999,        -0.651976,         0.398654,         0.167419,         2.381183,        -0.044800,         0.048870,        -0.916712,         0.877338,         0.039830,        22.027118,        -0.048605,         0.029463,        -1.649694,         4.784154,         4.689186,         0.094968,         1.883619,         0.886591,         0.182092,         0.001523
    4, 5, 961233.2027, 1942230.3491,         3.918992,         1.061251,         3.692803,        -0.004963,         0.029996,        -0.165454,         0.193756,         0.015704,        12.338365,         0.016069,         0.014923,         1.076791,        -0.092758,         0.019699,        -4.708791,        -0.076502,         0.028496,        -2.684636,        -0.576912,         0.678723,        -0.849996,         0.151871,         0.051451,         2.951752,        -0.468604,         0.572917,        -0.817925,         0.000005,         0.000970,         0.004699,         0.385123,         0.162368,         2.371916,        -0.074581,         0.052135,        -1.430542,         0.883776,         0.038354,        23.042717,        -0.058608,         0.028639,        -2.046458,         4.889161,         4.756922,         0.132239,         2.726012,         0.891726,         0.242814,         0.004595
    5, 6, 961313.2771, 1943305.3987,         3.677326,         0.987758,         3.722902,        -0.017516,         0.029933,        -0.585170,         0.194927,         0.014521,        13.423498,         0.010857,         0.015032,         0.722288,        -0.100207,         0.020406,        -4.910625,        -0.082983,         0.027756,        -2.989735,        -0.288569,         0.627466,        -0.459896,         0.060686,         0.051182,         1.185688,        -0.937693,         0.588671,        -1.592898,        -0.000763,         0.001003,        -0.760337,         0.403281,         0.160121,         2.518595,        -0.034823,         0.049703,        -0.700631,         0.913700,         0.034592,        26.413888,        -0.051430,         0.028618,        -1.797123,         4.877578,         4.887302,        -0.009724,        -0.187583,         0.901109,         0.135366,         0.000011
    6, 7, 962133.5667, 1943377.8241,         1.686384,         0.974299,         1.730869,         0.024076,         0.030277,         0.795189,         0.179852,         0.015983,        11.252401,        -0.039890,         0.017382,        -2.294871,        -0.071715,         0.022968,        -3.122343,        -0.077101,         0.031910,        -2.416164,         0.885043,         0.641912,         1.378762,         0.007259,         0.048022,         0.151154,        -1.032514,         0.387712,        -2.663099,        -0.003835,         0.001184,        -3.239895,         0.518329,         0.217599,         2.382041,         0.056854,         0.039570,         1.436798,         0.877583,         0.039003,        22.500433,        -0.014241,         0.033334,        -0.427221,         4.876046,         4.890975,        -0.014929,        -0.282525,         0.903149,         0.101595,         0.000017
    7, 8, 961857.3128, 1943231.8278,         2.031337,         0.973912,         2.085749,         0.011754,         0.030126,         0.390171,         0.189796,         0.015154,        12.524720,        -0.027082,         0.016162,        -1.675620,        -0.084587,         0.021613,        -3.913637,        -0.082887,         0.029982,        -2.764596,         0.664792,         0.636401,         1.044613,         0.039373,         0.043830,         0.898307,        -0.938388,         0.421585,        -2.225859,        -0.002802,         0.001031,        -2.716249,         0.482152,         0.182400,         2.643374,         0.030129,         0.040062,         0.752073,         0.882359,         0.037460,        23.554765,        -0.026253,         0.030632,        -0.857042,         4.926852,         4.854252,         0.072600,         1.375975,         0.898570,         0.104238,         0.000425
    8, 9, 962106.2529, 1942949.4875,         1.699182,         1.005246,         1.690314,         0.015826,         0.028196,         0.561273,         0.188453,         0.015859,        11.882760,        -0.039239,         0.017525,        -2.239079,        -0.075671,         0.022058,        -3.430480,        -0.074455,         0.031496,        -2.363930,         0.843509,         0.663900,         1.270536,         0.045280,         0.041295,         1.096497,        -1.029927,         0.385811,        -2.669510,        -0.003530,         0.001113,        -3.170283,         0.381289,         0.190584,         2.000633,         0.045687,         0.038938,         1.173344,         0.871962,         0.039758,        21.931926,        -0.018468,         0.031784,        -0.581059,         4.833795,         4.798046,         0.035749,         0.694611,         0.896455,         0.147710,         0.000161
    9, 10, 960584.4767, 1942901.6994,         6.424033,         1.079097,         5.953155,        -0.047771,         0.030189,        -1.582395,         0.192029,         0.015135,        12.687675,         0.063838,         0.014911,         4.281133,        -0.130966,         0.020181,        -6.489606,        -0.036171,         0.027085,        -1.335493,        -1.804617,         0.643340,        -2.805072,         0.061147,         0.051833,         1.179703,        -1.053554,         0.937820,        -1.123408,         0.001352,         0.000972,         1.390650,         0.301540,         0.153552,         1.963769,        -0.130518,         0.054888,        -2.377919,         0.921567,         0.034324,        26.849322,        -0.079308,         0.028347,        -2.797754,         5.052042,         5.086043,        -0.034001,        -0.677389,         0.908026,         0.189305,         0.000207
