Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 946928.5817, 1942032.5052,         6.383576,         1.788587,         3.569060,        -0.168455,         0.053421,        -3.153375,         0.177072,         0.020101,         8.809000,         0.001831,         0.028720,         0.063769,        -0.017407,         0.032015,        -0.543722,         0.013818,         0.025755,         0.536503,        -1.968077,         1.082635,        -1.817859,        -0.116534,         0.086180,        -1.352214,        -5.934601,         1.541217,        -3.850593,         0.009268,         0.002530,         3.663230,        -0.669761,         0.227705,        -2.941349,        -0.100334,         0.059895,        -1.675166,         1.276099,         0.069648,        18.322068,        -0.052205,         0.035730,        -1.461085,         4.113943,         4.209627,        -0.095684,        -1.289758,         0.922881,         0.181538,         0.001039
    1, 2, 956289.1118, 1942397.2908,         3.057845,         1.479208,         2.067217,         0.053668,         0.053322,         1.006496,         0.230116,         0.021780,        10.565565,         0.011691,         0.018477,         0.632752,        -0.093117,         0.031595,        -2.947153,        -0.032076,         0.025044,        -1.280789,        -1.211944,         0.827678,        -1.464270,         0.030678,         0.037415,         0.819954,        -2.021015,         1.662126,        -1.215922,        -0.002695,         0.001080,        -2.495248,        -0.536316,         0.200632,        -2.673130,         0.330788,         0.060681,         5.451239,         1.176693,         0.041359,        28.450609,         0.026825,         0.029589,         0.906563,         4.774517,         4.809090,        -0.034573,        -0.464852,         0.923893,         0.177433,         0.000131
    2, 3, 956244.7223, 1942492.4165,         3.125697,         1.466815,         2.130942,         0.060533,         0.052823,         1.145955,         0.227084,         0.021580,        10.523052,         0.012535,         0.018367,         0.682472,        -0.095579,         0.031509,        -3.033371,        -0.031261,         0.025015,        -1.249699,        -1.262696,         0.820496,        -1.538942,         0.033611,         0.037415,         0.898349,        -2.216903,         1.665480,        -1.331089,        -0.002592,         0.001079,        -2.402494,        -0.550178,         0.201255,        -2.733741,         0.330662,         0.060325,         5.481330,         1.177444,         0.041409,        28.434206,         0.029608,         0.029451,         1.005326,         4.759668,         4.805308,        -0.045640,        -0.601725,         0.923533,         0.144487,         0.000172
    3, 4, 950879.2189, 1943268.2252,         1.547534,         1.444398,         1.071405,        -0.168123,         0.053838,        -3.122731,         0.204174,         0.017789,        11.477698,        -0.008665,         0.021074,        -0.411141,        -0.060241,         0.042041,        -1.432919,        -0.069499,         0.026849,        -2.588506,         0.753098,         0.865229,         0.870403,        -0.048486,         0.045133,        -1.074299,        -4.764442,         1.633521,        -2.916670,        -0.004497,         0.002375,        -1.893662,         0.511535,         0.419358,         1.219803,         0.041183,         0.048375,         0.851331,         1.160991,         0.076647,        15.147326,        -0.048482,         0.046783,        -1.036306,         4.161110,         4.185386,        -0.024276,        -0.330857,         0.862174,         0.199421,         0.000077
    4, 5, 950189.7071, 1944015.6738,         1.052015,         1.406953,         0.747726,        -0.188325,         0.052711,        -3.572747,         0.195446,         0.015745,        12.413563,        -0.013320,         0.021271,        -0.626184,        -0.050011,         0.036609,        -1.366075,        -0.074147,         0.028824,        -2.572422,         1.215263,         0.841324,         1.444465,        -0.084109,         0.054265,        -1.549979,        -4.495521,         1.492807,        -3.011454,        -0.007270,         0.002547,        -2.854224,         0.356075,         0.184228,         1.932798,         0.055893,         0.049598,         1.126928,         1.128911,         0.075526,        14.947296,        -0.026557,         0.052565,        -0.505230,         4.223579,         4.372130,        -0.148551,        -1.984678,         0.860879,         0.166882,         0.002221
    5, 6, 959951.1562, 1944128.9068,         2.326405,         1.259627,         1.846900,         0.037735,         0.048707,         0.774740,         0.301357,         0.021205,        14.211365,         0.047984,         0.019969,         2.402938,        -0.057003,         0.026269,        -2.169999,        -0.117766,         0.033470,        -3.518604,         0.220189,         0.775312,         0.284001,        -0.053123,         0.053777,        -0.987828,        -1.538928,         1.002022,        -1.535823,        -0.002171,         0.000905,        -2.398530,        -0.020754,         0.160996,        -0.128910,         0.073814,         0.058237,         1.267490,         1.114879,         0.037345,        29.853567,        -0.056210,         0.037738,        -1.489505,         5.021189,         5.022912,        -0.001723,        -0.022598,         0.928773,         0.135060,         0.000000
    6, 7, 957298.4222, 1944225.9739,         5.925220,         1.185509,         4.998040,         0.104704,         0.045359,         2.308351,         0.212165,         0.020544,        10.327287,         0.033396,         0.018294,         1.825528,        -0.106236,         0.028902,        -3.675785,        -0.060101,         0.026292,        -2.285865,        -2.201776,         0.671977,        -3.276567,         0.019691,         0.064664,         0.304519,        -4.254075,         1.878109,        -2.265085,         0.000119,         0.000993,         0.120011,        -0.203469,         0.210522,        -0.966497,         0.040252,         0.074385,         0.541129,         1.165590,         0.037218,        31.317719,         0.016012,         0.028862,         0.554767,         4.924279,         4.999732,        -0.075453,        -0.968041,         0.926258,         0.096569,         0.000282
    7, 8, 950814.69, 1944331.7741,         0.895468,         1.343421,         0.666558,        -0.176885,         0.051845,        -3.411814,         0.203171,         0.016291,        12.471574,        -0.009322,         0.021281,        -0.438017,        -0.045190,         0.036182,        -1.248939,        -0.073999,         0.028072,        -2.636042,         1.251826,         0.803824,         1.557339,        -0.074564,         0.059943,        -1.243917,        -4.599084,         1.610536,        -2.855623,        -0.006936,         0.002348,        -2.953936,         0.294332,         0.164888,         1.785041,         0.059722,         0.046915,         1.272985,         1.136145,         0.073242,        15.512113,        -0.060389,         0.047067,        -1.283045,         4.343854,         4.395681,        -0.051827,        -0.672793,         0.870046,         0.117576,         0.000170
    8, 9, 960055.0778, 1944287.404,         2.257923,         1.252808,         1.802290,         0.038151,         0.048848,         0.781000,         0.300508,         0.021287,        14.116841,         0.047908,         0.020283,         2.361967,        -0.055379,         0.026622,        -2.080165,        -0.119767,         0.033994,        -3.523149,         0.282125,         0.772221,         0.365343,        -0.070448,         0.053683,        -1.312293,        -1.706381,         0.998240,        -1.709389,        -0.002340,         0.000901,        -2.597897,        -0.035170,         0.159826,        -0.220052,         0.084354,         0.056956,         1.481019,         1.117409,         0.037445,        29.841418,        -0.055641,         0.038250,        -1.454677,         4.821186,         4.764501,         0.056685,         0.752308,         0.928449,         0.155749,         0.000294
    9, 10, 947937.8901, 1944856.5906,         2.191270,         1.592500,         1.375994,        -0.108518,         0.060835,        -1.783810,         0.171387,         0.020351,         8.421369,         0.024850,         0.028217,         0.880666,        -0.031447,         0.035599,        -0.883389,         0.007687,         0.031632,         0.243016,         0.999346,         0.882837,         1.131971,        -0.264972,         0.086064,        -3.078773,        -3.458475,         1.457537,        -2.372822,         0.002295,         0.002346,         0.978303,         0.254918,         0.286422,         0.890010,        -0.122677,         0.067427,        -1.819408,         1.276039,         0.082785,        15.413897,        -0.094341,         0.060807,        -1.551491,         4.298853,         4.333578,        -0.034725,        -0.467816,         0.885207,         0.180670,         0.000136
