Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         1.626575,         0.889835,         1.827952,         0.009268,         0.028823,         0.321564,         0.150311,         0.014232,        10.561279,        -0.023959,         0.017338,        -1.381896,        -0.036991,         0.023602,        -1.567275,        -0.018487,         0.028988,        -0.637739,         0.649800,         0.579736,         1.120853,        -0.018535,         0.035051,        -0.528809,        -0.802627,         0.330523,        -2.428358,        -0.004971,         0.000977,        -5.089467,        -0.030636,         0.039003,        -0.785468,         0.154438,         0.026411,         5.847549,         0.899321,         0.036183,        24.855094,        -0.031222,         0.060799,        -0.513521,         4.605830,         4.638991,        -0.033161,        -0.629575,         0.904154,         0.167919,         0.000180
    1, 2, 961749.2586, 1942854.2381,         1.177148,         0.950682,         1.238214,        -0.049547,         0.027955,        -1.772401,         0.172632,         0.014808,        11.658096,         0.009461,         0.014883,         0.635650,        -0.061847,         0.020498,        -3.017178,        -0.031725,         0.027862,        -1.138658,         0.936793,         0.615245,         1.522635,         0.083338,         0.036257,         2.298559,        -0.989458,         0.345501,        -2.863840,        -0.002876,         0.000796,        -3.614973,         0.249977,         0.118610,         2.107557,         0.056665,         0.041524,         1.364635,         0.882571,         0.033958,        25.989990,         0.020370,         0.061469,         0.331379,         4.824220,         4.658409,         0.165811,         3.047988,         0.889317,         0.112421,         0.002652
    2, 3, 961493.89, 1942493.5085,         1.586310,         0.993953,         1.595961,        -0.059779,         0.027147,        -2.202093,         0.174105,         0.015065,        11.557197,         0.019386,         0.014756,         1.313787,        -0.069643,         0.019485,        -3.574185,        -0.030712,         0.027373,        -1.121990,         0.697454,         0.637935,         1.093300,         0.123166,         0.040190,         3.064565,        -0.911887,         0.360174,        -2.531794,        -0.002001,         0.000802,        -2.494798,         0.312458,         0.140960,         2.216649,         0.008952,         0.047381,         0.188942,         0.881131,         0.033546,        26.266103,         0.034285,         0.061706,         0.555626,         4.866016,         4.743445,         0.122571,         2.250402,         0.885784,         0.110270,         0.001414
    3, 4, 961233.2027, 1942230.3491,         1.954034,         1.005640,         1.943075,        -0.061998,         0.025826,        -2.400576,         0.172157,         0.015069,        11.424850,         0.024619,         0.014459,         1.702610,        -0.076001,         0.018639,        -4.077468,        -0.025157,         0.026369,        -0.954025,         0.483732,         0.642707,         0.752647,         0.145262,         0.042155,         3.445886,        -0.845960,         0.380737,        -2.221901,        -0.001466,         0.000799,        -1.834586,         0.306699,         0.135488,         2.263663,        -0.018940,         0.048952,        -0.386913,         0.879904,         0.032949,        26.705422,         0.047902,         0.061745,         0.775805,         4.860367,         4.724850,         0.135517,         2.598601,         0.884865,         0.184328,         0.003439
    4, 5, 961313.2771, 1943305.3987,         1.936173,         0.964834,         2.006742,        -0.076681,         0.032116,        -2.387638,         0.174249,         0.015112,        11.530607,         0.027581,         0.014957,         1.844000,        -0.068565,         0.020494,        -3.345647,        -0.031955,         0.027029,        -1.182224,         0.519957,         0.616765,         0.843040,         0.088105,         0.039305,         2.241560,        -0.979057,         0.481243,        -2.034435,        -0.002072,         0.000776,        -2.670502,         0.278498,         0.145420,         1.915132,         0.017186,         0.047192,         0.364161,         0.911394,         0.033000,        27.617740,         0.032678,         0.065338,         0.500140,         4.822219,         4.842311,        -0.020092,        -0.442032,         0.894399,         0.380323,         0.000270
    5, 6, 962133.5667, 1943377.8241,         1.042600,         0.870219,         1.198089,        -0.018409,         0.027626,        -0.666380,         0.161376,         0.014030,        11.502279,        -0.011796,         0.015515,        -0.760316,        -0.047294,         0.021826,        -2.166846,        -0.022398,         0.027681,        -0.809154,         0.997252,         0.570629,         1.747635,         0.015498,         0.031465,         0.492556,        -0.960502,         0.326272,        -2.943867,        -0.004288,         0.000833,        -5.146108,         0.000703,         0.039458,         0.017811,         0.136539,         0.028317,         4.821728,         0.890956,         0.034507,        25.819445,        -0.003995,         0.060323,        -0.066234,         4.840260,         4.864027,        -0.023767,        -0.431124,         0.897710,         0.088513,         0.000041
    6, 7, 961857.3128, 1943231.8278,         1.085801,         0.908215,         1.195533,        -0.039192,         0.028578,        -1.371373,         0.168402,         0.014468,        11.639354,         0.000809,         0.015097,         0.053611,        -0.055549,         0.021271,        -2.611534,        -0.028566,         0.027848,        -1.025782,         0.989014,         0.592073,         1.670427,         0.047314,         0.033492,         1.412719,        -0.993303,         0.340521,        -2.917011,        -0.003508,         0.000797,        -4.400376,         0.142266,         0.081602,         1.743421,         0.094708,         0.035207,         2.690052,         0.890741,         0.034100,        26.121293,         0.009682,         0.061171,         0.158269,         4.893264,         4.832761,         0.060503,         1.102862,         0.893954,         0.097343,         0.000296
    7, 8, 962106.2529, 1942949.4875,         0.809049,         0.890793,         0.908235,        -0.026754,         0.027279,        -0.980779,         0.166198,         0.014309,        11.615211,        -0.007876,         0.014982,        -0.525677,        -0.050683,         0.021152,        -2.396102,        -0.024038,         0.027686,        -0.868228,         1.132980,         0.583690,         1.941066,         0.038416,         0.031998,         1.200559,        -1.022694,         0.328115,        -3.116874,        -0.003967,         0.000807,        -4.918395,         0.015164,         0.040082,         0.378328,         0.124148,         0.030840,         4.025495,         0.880189,         0.034372,        25.607532,         0.006370,         0.060494,         0.105300,         4.793261,         4.732686,         0.060575,         1.137852,         0.892996,         0.149985,         0.000515
    8, 9, 960584.4767, 1942901.6994,         3.133831,         1.023129,         3.062989,        -0.097600,         0.030269,        -3.224437,         0.175492,         0.015742,        11.148085,         0.047940,         0.014531,         3.299171,        -0.093839,         0.019280,        -4.867083,        -0.024950,         0.025802,        -0.966981,        -0.098623,         0.639081,        -0.154319,         0.129328,         0.044195,         2.926337,        -1.263314,         0.706624,        -1.787818,        -0.000492,         0.000809,        -0.608284,         0.261002,         0.134927,         1.934401,        -0.065365,         0.051732,        -1.263538,         0.915678,         0.032222,        28.417455,         0.082630,         0.072192,         1.144593,         5.057847,         5.095936,        -0.038089,        -0.715273,         0.893050,         0.149533,         0.000203
    9, 10, 960857.4229, 1942935.199,         2.635200,         1.002863,         2.627677,        -0.091620,         0.030987,        -2.956735,         0.175802,         0.015607,        11.264435,         0.040785,         0.014458,         2.820893,        -0.083098,         0.019272,        -4.311810,        -0.026725,         0.026084,        -1.024573,         0.144292,         0.633138,         0.227900,         0.129348,         0.043387,         2.981239,        -1.099228,         0.651796,        -1.686461,        -0.000892,         0.000817,        -1.091905,         0.263449,         0.137777,         1.912145,        -0.042340,         0.051135,        -0.828005,         0.912481,         0.032369,        28.190342,         0.065405,         0.069291,         0.943909,         4.855056,         4.822476,         0.032580,         0.619968,         0.892142,         0.171753,         0.000180
