Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 958372.6233, 1942117.9563,         0.382859,         1.694957,         0.225881,        -0.061848,         0.040736,        -1.518248,         0.199820,         0.020281,         9.852627,        -0.007058,         0.019509,        -0.361805,        -0.060930,         0.027333,        -2.229213,        -0.035682,         0.031835,        -1.120835,         0.912394,         0.873176,         1.044914,         0.205902,         0.065362,         3.150190,        -0.926561,         1.726098,        -0.536795,        -0.000802,         0.000947,        -0.847009,        -0.332182,         0.170589,        -1.947258,         0.065009,         0.066578,         0.976425,         1.104715,         0.041066,        26.901016,         0.018602,         0.040055,         0.464415,         4.759668,         4.827113,        -0.067445,        -1.056869,         0.929460,         0.176089,         0.000662
    1, 2, 953103.1538, 1943348.3149,         3.719585,         1.345883,         2.763676,        -0.044830,         0.041458,        -1.081343,         0.098708,         0.018588,         5.310315,        -0.049835,         0.022181,        -2.246736,         0.030298,         0.038498,         0.786983,         0.004279,         0.024635,         0.173706,        -0.890160,         0.796304,        -1.117866,        -0.016160,         0.042477,        -0.380434,        -3.235410,         1.632582,        -1.981775,        -0.002601,         0.001744,        -1.490809,         0.922382,         0.216675,         4.256982,         0.081503,         0.050065,         1.627940,         1.004636,         0.058741,        17.102821,        -0.014940,         0.035040,        -0.426359,         4.588832,         4.658149,        -0.069317,        -1.044083,         0.924191,         0.108260,         0.000367
    2, 3, 960960.4134, 1943974.3221,         4.654230,         1.237138,         3.762094,         0.047087,         0.041501,         1.134601,         0.191048,         0.019233,         9.933373,         0.019936,         0.021142,         0.942968,        -0.081594,         0.025902,        -3.150171,        -0.056829,         0.037236,        -1.526195,        -1.154255,         0.756279,        -1.526230,        -0.071552,         0.073482,        -0.973732,        -0.533208,         0.818463,        -0.651474,        -0.003631,         0.001045,        -3.474323,         0.140480,         0.214690,         0.654339,         0.055676,         0.061648,         0.903126,         1.136421,         0.039649,        28.661848,         0.037591,         0.040873,         0.919691,         4.994372,         4.812697,         0.181675,         2.982848,         0.921893,         0.249495,         0.008200
    3, 4, 966299.3339, 1944525.5923,         3.333231,         1.077455,         3.093616,         0.005729,         0.042976,         0.133305,         0.161401,         0.018097,         8.918854,         0.020008,         0.024701,         0.810019,        -0.019342,         0.033933,        -0.569997,        -0.029225,         0.034963,        -0.835894,        -0.762338,         0.656408,        -1.161377,        -0.052243,         0.044847,        -1.164899,         0.341849,         0.392653,         0.870614,        -0.001845,         0.001381,        -1.335674,         0.015329,         0.046806,         0.327494,         0.228796,         0.049553,         4.617223,         0.908924,         0.048348,        18.799571,        -0.035897,         0.039364,        -0.911933,         4.559298,         4.630694,        -0.071396,        -1.058483,         0.907400,         0.079544,         0.000268
    4, 5, 959697.2476, 1944770.6249,         6.353296,         1.613209,         3.938297,        -0.018028,         0.038580,        -0.467288,         0.168104,         0.019574,         8.588145,         0.002031,         0.019197,         0.105819,        -0.098768,         0.024487,        -4.033532,         0.016576,         0.033112,         0.500609,        -2.214785,         0.857761,        -2.582054,        -0.086398,         0.088898,        -0.971884,        -5.363620,         2.319261,        -2.312642,        -0.001661,         0.001017,        -1.633258,        -0.155799,         0.228012,        -0.683295,         0.061559,         0.066863,         0.920682,         1.196711,         0.040329,        29.673370,        -0.016314,         0.050112,        -0.325551,         4.929419,         4.706206,         0.223213,         3.747624,         0.938275,         0.282282,         0.015314
    5, 6, 947937.8901, 1944856.5906,         4.714252,         1.226177,         3.844673,        -0.144828,         0.043807,        -3.306066,         0.130537,         0.018328,         7.122274,        -0.018102,         0.024756,        -0.731186,        -0.055787,         0.032007,        -1.742971,         0.047444,         0.033817,         1.402994,        -0.432019,         0.669349,        -0.645431,        -0.189101,         0.093496,        -2.022557,        -2.678174,         1.372782,        -1.950910,         0.002313,         0.002196,         1.053165,         0.342381,         0.275635,         1.242151,        -0.120368,         0.062536,        -1.924776,         1.058039,         0.065734,        16.095747,        -0.025839,         0.044495,        -0.580710,         4.347320,         4.343179,         0.004141,         0.066384,         0.903978,         0.212719,         0.000003
    6, 7, 966449.2643, 1944829.8856,         3.467365,         1.096190,         3.163105,         0.007351,         0.042264,         0.173940,         0.161528,         0.017754,         9.098072,         0.013482,         0.024680,         0.546280,        -0.025372,         0.034155,        -0.742850,        -0.030926,         0.034133,        -0.906055,        -0.816779,         0.657713,        -1.241847,        -0.051060,         0.044517,        -1.146976,         0.339605,         0.394190,         0.861527,        -0.001814,         0.001352,        -1.341666,         0.014528,         0.046254,         0.314083,         0.222222,         0.049749,         4.466848,         0.914446,         0.047989,        19.055492,        -0.040599,         0.038784,        -1.046798,         4.510250,         4.559718,        -0.049468,        -0.762692,         0.908207,         0.148910,         0.000282
    7, 8, 959799.5345, 1944896.9193,         6.432420,         1.639711,         3.922898,        -0.019678,         0.039203,        -0.501960,         0.166276,         0.019783,         8.405026,         0.002611,         0.019543,         0.133593,        -0.093267,         0.024747,        -3.768852,         0.020490,         0.034085,         0.601128,        -2.295510,         0.874198,        -2.625846,        -0.101772,         0.088779,        -1.146347,        -5.672265,         2.430681,        -2.333612,        -0.001983,         0.001040,        -1.906737,        -0.146014,         0.235254,        -0.620664,         0.082981,         0.068291,         1.215103,         1.192608,         0.041550,        28.703242,        -0.021826,         0.050672,        -0.430728,         4.361728,         4.371307,        -0.009579,        -0.144743,         0.938437,         0.113967,         0.000007
    8, 9, 954840.6249, 1945225.4372,         4.010128,         2.204877,         1.818754,         0.031883,         0.042788,         0.745137,         0.079297,         0.019662,         4.032898,         0.110430,         0.029322,         3.766155,        -0.046694,         0.032779,        -1.424534,         0.017609,         0.031735,         0.554859,        -1.247770,         1.214859,        -1.027091,        -0.036313,         0.068003,        -0.533993,       -11.210307,         5.334043,        -2.101653,        -0.001921,         0.001839,        -1.044365,         0.221074,         0.186034,         1.188352,         0.164511,         0.102876,         1.599109,         0.953323,         0.052499,        18.159023,        -0.010706,         0.037206,        -0.287756,         5.162103,         5.101399,         0.060704,         0.987170,         0.887782,         0.234980,         0.000830
    9, 10, 955265.2653, 1945338.949,         3.831006,         1.901769,         2.014444,         0.025651,         0.039352,         0.651832,         0.083223,         0.017948,         4.636816,         0.088445,         0.027530,         3.212680,        -0.042931,         0.030880,        -1.390241,         0.009361,         0.030623,         0.305677,        -1.126876,         1.026025,        -1.098293,        -0.034448,         0.061488,        -0.560230,       -11.694442,         4.271021,        -2.738090,        -0.000514,         0.001701,        -0.302063,        -0.146687,         0.195414,        -0.750649,         0.183108,         0.111835,         1.637302,         0.987490,         0.049564,        19.923597,        -0.002809,         0.036848,        -0.076223,         5.100869,         4.816568,         0.284301,         4.586132,         0.889212,         0.222520,         0.016688
