Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 962333.4335, 1943825.5937,         2.219180,         0.903942,         2.455003,         0.031496,         0.031842,         0.989142,         0.148166,         0.014574,        10.166431,        -0.044615,         0.018782,        -2.375414,        -0.055879,         0.026093,        -2.141535,        -0.028732,         0.034014,        -0.844718,         0.422839,         0.593550,         0.712389,        -0.052031,         0.045613,        -1.140709,        -0.779179,         0.372694,        -2.090669,        -0.006498,         0.001230,        -5.283195,        -0.048343,         0.042230,        -1.144767,         0.191441,         0.035624,         5.373969,         0.824347,         0.038610,        21.350668,         0.053861,         0.054038,         0.996727,         4.644401,         4.683955,        -0.039554,        -0.747493,         0.897602,         0.177118,         0.000239
    1, 2, 962576.2556, 1944199.8002,         2.498159,         0.920771,         2.713117,         0.040103,         0.032206,         1.245191,         0.137124,         0.014555,         9.420954,        -0.043843,         0.018907,        -2.318932,        -0.045176,         0.026157,        -1.727121,        -0.035328,         0.034423,        -1.026282,         0.226467,         0.594791,         0.380751,        -0.088849,         0.041467,        -2.142627,        -0.633761,         0.365814,        -1.732468,        -0.007000,         0.001223,        -5.724651,        -0.078760,         0.035994,        -2.188169,         0.220294,         0.031551,         6.982111,         0.849175,         0.039801,        21.335362,         0.041927,         0.057647,         0.727303,         5.068186,         5.012604,         0.055582,         1.045096,         0.900506,         0.168742,         0.000440
    2, 3, 961749.2586, 1942854.2381,         2.781080,         0.935736,         2.972076,         0.007168,         0.030481,         0.235180,         0.177886,         0.013843,        12.850355,        -0.013888,         0.016603,        -0.836460,        -0.084482,         0.022505,        -3.753982,        -0.022351,         0.029340,        -0.761794,         0.051902,         0.599435,         0.086585,         0.062545,         0.041991,         1.489505,        -0.707784,         0.392390,        -1.803777,        -0.002861,         0.001031,        -2.775125,         0.443754,         0.159658,         2.779396,         0.053670,         0.047615,         1.127160,         0.809063,         0.034296,        23.590357,         0.046154,         0.041997,         1.098981,         4.795847,         4.663662,         0.132185,         2.453318,         0.900184,         0.146827,         0.002058
    3, 4, 961493.89, 1942493.5085,         3.206822,         0.966418,         3.318257,         0.010816,         0.030000,         0.360543,         0.182607,         0.014034,        13.012149,        -0.004844,         0.016230,        -0.298450,        -0.085240,         0.021274,        -4.006757,        -0.024019,         0.028902,        -0.831048,        -0.251774,         0.612578,        -0.411007,         0.094163,         0.043223,         2.178563,        -0.582718,         0.458706,        -1.270353,        -0.001878,         0.000997,        -1.882682,         0.414384,         0.157187,         2.636247,         0.029286,         0.049160,         0.595724,         0.811629,         0.034214,        23.722219,         0.041891,         0.041228,         1.016091,         4.927829,         4.856009,         0.071820,         1.319685,         0.901165,         0.129590,         0.000515
    4, 5, 961233.2027, 1942230.3491,         3.593884,         0.999519,         3.595614,         0.010319,         0.030160,         0.342138,         0.185075,         0.014576,        12.697012,         0.004509,         0.016179,         0.278686,        -0.088420,         0.020578,        -4.296767,        -0.024824,         0.029189,        -0.850468,        -0.502168,         0.627981,        -0.799655,         0.118528,         0.045481,         2.606079,        -0.488177,         0.571590,        -0.854069,        -0.001050,         0.001008,        -1.041825,         0.409470,         0.157791,         2.595017,         0.003679,         0.051855,         0.070939,         0.812607,         0.034669,        23.439319,         0.037336,         0.041216,         0.905878,         4.884198,         4.741347,         0.142851,         2.744857,         0.902905,         0.204013,         0.003836
    5, 6, 961165.8318, 1943286.0279,         3.921199,         0.944688,         4.150787,        -0.018098,         0.033990,        -0.532455,         0.180639,         0.014198,        12.722534,         0.015922,         0.016078,         0.990281,        -0.108492,         0.021970,        -4.938246,        -0.023214,         0.028712,        -0.808534,        -0.559497,         0.588586,        -0.950578,         0.086425,         0.045279,         1.908740,        -0.895298,         0.615356,        -1.454927,        -0.001017,         0.001021,        -0.996213,         0.492893,         0.148649,         3.315822,        -0.019909,         0.052638,        -0.378225,         0.838554,         0.033149,        25.296256,         0.038466,         0.040731,         0.944388,         4.968483,         4.927264,         0.041219,         0.772503,         0.904816,         0.163276,         0.000231
    6, 7, 962133.5667, 1943377.8241,         2.193307,         0.904238,         2.425586,         0.022676,         0.030969,         0.732218,         0.162114,         0.014135,        11.468766,        -0.039348,         0.017971,        -2.189465,        -0.066479,         0.024959,        -2.663491,        -0.022413,         0.032007,        -0.700270,         0.424208,         0.596914,         0.710669,         0.005526,         0.043583,         0.126791,        -0.836487,         0.372362,        -2.246434,        -0.005314,         0.001169,        -4.546717,         0.054160,         0.059091,         0.916553,         0.140129,         0.040194,         3.486293,         0.811268,         0.036511,        22.220110,         0.049003,         0.046837,         1.046258,         4.823567,         4.856795,        -0.033228,        -0.593431,         0.897217,         0.078599,         0.000060
    7, 8, 961857.3128, 1943231.8278,         2.535719,         0.923756,         2.745010,         0.006721,         0.032004,         0.210000,         0.171303,         0.014013,        12.224706,        -0.020481,         0.017427,        -1.175228,        -0.086324,         0.024348,        -3.545496,        -0.023035,         0.030569,        -0.753554,         0.260133,         0.598923,         0.434334,         0.038344,         0.042547,         0.901209,        -0.840430,         0.401501,        -2.093221,        -0.003538,         0.001127,        -3.140385,         0.485030,         0.168919,         2.871378,         0.064106,         0.047923,         1.337697,         0.807084,         0.035232,        22.907779,         0.045999,         0.043755,         1.051293,         4.904214,         4.837182,         0.067032,         1.200789,         0.898099,         0.084185,         0.000263
    8, 9, 962106.2529, 1942949.4875,         2.274017,         0.936616,         2.427907,         0.021692,         0.030394,         0.713687,         0.168796,         0.014149,        11.930002,        -0.038432,         0.017583,        -2.185693,        -0.064680,         0.023964,        -2.699042,        -0.017384,         0.031451,        -0.552740,         0.346632,         0.614832,         0.563784,         0.031553,         0.043397,         0.727069,        -0.795363,         0.369743,        -2.151121,        -0.004753,         0.001138,        -4.178438,         0.068685,         0.063931,         1.074362,         0.121094,         0.042698,         2.836053,         0.805181,         0.036222,        22.229219,         0.044064,         0.045016,         0.978852,         4.789866,         4.765526,         0.024340,         0.453440,         0.897200,         0.153194,         0.000074
    9, 10, 960584.4767, 1942901.6994,         5.257118,         0.999516,         5.259665,        -0.037862,         0.031993,        -1.183432,         0.185457,         0.014693,        12.622142,         0.047592,         0.016025,         2.969898,        -0.126605,         0.020662,        -6.127365,        -0.015250,         0.028306,        -0.538747,        -1.296165,         0.602634,        -2.150831,         0.115232,         0.045743,         2.519119,        -0.985309,         0.703899,        -1.399787,         0.000725,         0.000935,         0.774918,         0.479800,         0.144748,         3.314728,        -0.094177,         0.053826,        -1.749634,         0.847857,         0.033083,        25.628564,         0.027815,         0.039579,         0.702779,         5.042816,         5.040710,         0.002106,         0.039646,         0.911857,         0.170875,         0.000001
   10, 11, 960747.8202, 1942840.7862,         4.805930,         0.983892,         4.884613,        -0.026762,         0.032506,        -0.823272,         0.185189,         0.014589,        12.693644,         0.037290,         0.015763,         2.365629,        -0.117662,         0.020559,        -5.723135,        -0.018418,         0.028385,        -0.648860,        -1.085064,         0.601640,        -1.803510,         0.119736,         0.045367,         2.639292,        -0.817205,         0.657888,        -1.242164,         0.000335,         0.000956,         0.350709,         0.469167,         0.146540,         3.201637,        -0.070728,         0.053148,        -1.330776,         0.841056,         0.033304,        25.253714,         0.030492,         0.039861,         0.764958,         5.018252,         5.039113,        -0.020861,        -0.389797,         0.909279,         0.158280,         0.000057
   11, 12, 960606.3806, 1942696.2666,         5.050190,         1.001214,         5.044065,        -0.031680,         0.032031,        -0.989036,         0.185395,         0.014831,        12.500307,         0.044003,         0.015991,         2.751666,        -0.121933,         0.020492,        -5.950238,        -0.015720,         0.028614,        -0.549376,        -1.208680,         0.607478,        -1.989670,         0.122786,         0.045931,         2.673247,        -0.830406,         0.694641,        -1.195446,         0.000596,         0.000941,         0.633487,         0.479694,         0.147938,         3.242531,        -0.085732,         0.053706,        -1.596305,         0.840282,         0.033606,        25.004179,         0.029360,         0.040051,         0.733053,         4.985945,         4.993830,        -0.007885,        -0.149418,         0.911088,         0.181472,         0.000010
   12, 13, 960331.6888, 1942674.6321,         5.667204,         1.051006,         5.392173,        -0.044962,         0.031663,        -1.419989,         0.186094,         0.015302,        12.161530,         0.058259,         0.016817,         3.464287,        -0.133794,         0.021082,        -6.346355,        -0.010947,         0.029283,        -0.373843,        -1.495441,         0.620833,        -2.408763,         0.116215,         0.047776,         2.432501,        -1.077609,         0.930675,        -1.157879,         0.001084,         0.000939,         1.154137,         0.506706,         0.150920,         3.357453,        -0.117932,         0.055566,        -2.122383,         0.844865,         0.033886,        24.932373,         0.027867,         0.040475,         0.688501,         5.000033,         5.030590,        -0.030557,        -0.581130,         0.914792,         0.187435,         0.000155
   13, 14, 960584.4818, 1942236.7969,         4.788331,         1.032197,         4.638970,        -0.023733,         0.032223,        -0.736510,         0.185335,         0.015424,        12.016009,         0.039644,         0.016393,         2.418329,        -0.115767,         0.020377,        -5.681364,        -0.016767,         0.029624,        -0.566000,        -1.094894,         0.630218,        -1.737325,         0.134063,         0.048085,         2.788058,        -0.580060,         0.714756,        -0.811550,         0.000404,         0.000960,         0.421173,         0.481113,         0.155910,         3.085839,        -0.076162,         0.054647,        -1.393698,         0.826537,         0.034853,        23.714907,         0.031829,         0.041358,         0.769611,         4.763158,         4.731382,         0.031776,         0.614830,         0.910856,         0.215004,         0.000206
   14, 15, 960818.2735, 1941987.041,         4.176832,         1.026024,         4.070889,        -0.004829,         0.031159,        -0.154990,         0.185621,         0.015227,        12.189992,         0.022376,         0.016109,         1.389046,        -0.100138,         0.019883,        -5.036466,        -0.021302,         0.029476,        -0.722707,        -0.814981,         0.635477,        -1.282471,         0.139281,         0.047817,         2.912782,        -0.409847,         0.652156,        -0.628449,        -0.000146,         0.000979,        -0.149168,         0.439855,         0.156525,         2.810126,        -0.039897,         0.053673,        -0.743342,         0.815334,         0.034865,        23.385570,         0.034814,         0.041435,         0.840220,         4.698970,         4.736839,        -0.037869,        -0.716566,         0.908136,         0.179186,         0.000223
   15, 16, 960484.4566, 1941655.5684,         4.638023,         1.110213,         4.177599,        -0.020322,         0.033111,        -0.613746,         0.184805,         0.016670,        11.085841,         0.039766,         0.017547,         2.266266,        -0.112656,         0.020838,        -5.406335,        -0.017841,         0.031543,        -0.565609,        -1.020609,         0.680907,        -1.498895,         0.140370,         0.053070,         2.644989,        -0.334374,         0.809817,        -0.412901,         0.000211,         0.001000,         0.211266,         0.491793,         0.166926,         2.946178,        -0.072882,         0.057633,        -1.264604,         0.813877,         0.036591,        22.242377,         0.033917,         0.043601,         0.777884,         4.597695,         4.582026,         0.015669,         0.335336,         0.912001,         0.358337,         0.000125
   16, 17, 957816.4131, 1946266.7864,        -1.027826,         2.061692,        -0.498535,        -0.108121,         0.038022,        -2.843674,         0.125206,         0.017769,         7.046327,         0.116772,         0.021658,         5.391701,        -0.049511,         0.029693,        -1.667448,         0.063546,         0.027647,         2.298482,         2.133815,         1.173277,         1.818680,         0.027971,         0.087965,         0.317979,        -9.065369,         2.517090,        -3.601527,        -0.003371,         0.001148,        -2.935931,         0.228423,         0.220328,         1.036740,         0.114219,         0.053722,         2.126099,         0.866353,         0.050113,        17.288052,        -0.012169,         0.030996,        -0.392592,         4.766349,         4.752254,         0.014095,         0.284837,         0.935546,         0.280328,         0.000063
   17, 18, 958373.9516, 1946168.3064,         0.414632,         2.044447,         0.202809,        -0.121772,         0.037805,        -3.221028,         0.156153,         0.019352,         8.069256,         0.106679,         0.021039,         5.070530,        -0.024076,         0.028873,        -0.833845,         0.070648,         0.028828,         2.450708,         0.931721,         1.160977,         0.802532,         0.041188,         0.098245,         0.419241,        -8.031883,         2.562545,        -3.134339,        -0.005877,         0.001296,        -4.536228,         0.351981,         0.240079,         1.466106,         0.207451,         0.066766,         3.107140,         0.815724,         0.048679,        16.757296,        -0.016701,         0.032518,        -0.513601,         4.470190,         4.443214,         0.026976,         0.596093,         0.938026,         0.398146,         0.000467
   18, 19, 959048.347, 1946774.3474,        -2.971704,         2.279538,        -1.303643,        -0.061773,         0.036845,        -1.676554,         0.154154,         0.019323,         7.977625,         0.051295,         0.018425,         2.783988,         0.046251,         0.026610,         1.738115,         0.018221,         0.033281,         0.547487,         2.913989,         1.278590,         2.279065,         0.233082,         0.119050,         1.957851,       -14.581111,         3.084820,        -4.726730,        -0.004659,         0.001055,        -4.416010,         0.381788,         0.232462,         1.642369,         0.080139,         0.066475,         1.205543,         0.846221,         0.045251,        18.700659,        -0.036711,         0.034472,        -1.064945,         4.884813,         4.902117,        -0.017304,        -0.356808,         0.930154,         0.308780,         0.000113
   19, 20, 959099.6171, 1946925.3774,        -2.404768,         1.949727,        -1.233387,        -0.059569,         0.036844,        -1.616777,         0.148975,         0.019398,         7.680021,         0.046612,         0.018578,         2.508963,         0.047408,         0.026938,         1.759870,         0.017449,         0.033852,         0.515448,         2.732284,         1.147382,         2.381321,         0.193965,         0.093491,         2.074691,       -14.425025,         2.535418,        -5.689407,        -0.004445,         0.001031,        -4.310390,         0.322150,         0.207702,         1.551021,         0.063835,         0.064846,         0.984401,         0.845278,         0.045882,        18.422693,        -0.040687,         0.034753,        -1.170743,         4.778151,         4.760766,         0.017385,         0.384275,         0.927519,         0.398468,         0.000194
