Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA, se_AREA, t_AREA, est_FLOOR1, se_FLOOR1, t_FLOOR1, y, yhat, residual, std_residual, localR2, influence, CooksD
    0, 1, 958372.6233, 1942117.9563,         6.001509,         1.378055,         4.355057,        -0.041578,         0.032274,        -1.288279,         0.177101,         0.016388,        10.806516,         0.024982,         0.015712,         1.590045,        -0.069838,         0.022897,        -3.050058,        -0.008702,         0.031057,        -0.280209,        -1.789499,         0.712635,        -2.511102,         0.120219,         0.056339,         2.133841,        -4.533574,         1.762368,        -2.572434,         0.000109,         0.000840,         0.130102,         0.225095,         0.165712,         1.358346,        -0.081848,         0.059711,        -1.370745,         0.823199,         0.034153,        24.102958,        -0.080801,         0.034851,        -2.318470,         4.724276,         4.792585,        -0.068309,        -1.186874,         0.925190,         0.208508,         0.001094
    1, 2, 956274.0009, 1942439.2968,         4.544027,         1.223604,         3.713640,        -0.092483,         0.029380,        -3.147843,         0.170486,         0.015390,        11.077770,         0.012889,         0.016737,         0.770068,        -0.089457,         0.025237,        -3.544687,        -0.032583,         0.023944,        -1.360817,        -1.290188,         0.667255,        -1.933577,         0.056375,         0.032991,         1.708811,        -4.924315,         1.348506,        -3.651681,        -0.000912,         0.000861,        -1.059162,        -0.212706,         0.179032,        -1.188086,         0.155786,         0.056495,         2.757516,         0.891935,         0.036422,        24.488845,        -0.038735,         0.041732,        -0.928187,         4.866287,         5.026848,        -0.160561,        -2.790271,         0.921759,         0.208792,         0.006059
    2, 3, 941780.2414, 1942553.3493,         4.655720,         1.503160,         3.097288,        -0.141272,         0.042672,        -3.310689,         0.131349,         0.022353,         5.876213,        -0.007077,         0.023111,        -0.306241,        -0.060305,         0.031529,        -1.912702,         0.017338,         0.027094,         0.639902,        -1.150764,         0.850963,        -1.352307,         0.010413,         0.046448,         0.224195,         2.006029,         1.671353,         1.200242,         0.003499,         0.002328,         1.502706,         0.218640,         0.212612,         1.028352,        -0.020866,         0.056324,        -0.370468,         0.946973,         0.073492,        12.885432,        -0.064815,         0.038446,        -1.685868,         4.510150,         4.558049,        -0.047899,        -0.869952,         0.875121,         0.275626,         0.000849
    3, 4, 959269.0689, 1943233.4105,         6.115444,         1.236307,         4.946542,        -0.012637,         0.032855,        -0.384619,         0.173033,         0.016850,        10.268782,         0.023666,         0.015188,         1.558202,        -0.082297,         0.021319,        -3.860279,        -0.030294,         0.031049,        -0.975686,        -1.953296,         0.699111,        -2.793970,         0.145599,         0.055404,         2.627956,        -3.341151,         1.222369,        -2.733341,        -0.000423,         0.000770,        -0.550294,         0.223579,         0.155498,         1.437833,        -0.068800,         0.057109,        -1.204709,         0.838671,         0.032960,        25.444954,        -0.081243,         0.034452,        -2.358144,         4.700045,         4.629674,         0.070371,         1.254240,         0.925284,         0.247797,         0.001528
    4, 5, 953103.1538, 1943348.3149,         4.429810,         1.232949,         3.592856,        -0.137702,         0.031344,        -4.393229,         0.130035,         0.015043,         8.644460,        -0.032502,         0.017818,        -1.824069,        -0.057833,         0.026702,        -2.165918,        -0.047305,         0.023945,        -1.975576,        -1.009498,         0.703199,        -1.435579,         0.079128,         0.037575,         2.105903,        -9.060085,         1.443977,        -6.274397,        -0.000394,         0.001385,        -0.284451,         0.756295,         0.154360,         4.899541,         0.015394,         0.042476,         0.362406,         0.914832,         0.042442,        21.554968,         0.019182,         0.035378,         0.542199,         4.583199,         4.683433,        -0.100234,        -1.626268,         0.924988,         0.092291,         0.000793
    5, 6, 960960.4134, 1943974.3221,         4.100925,         1.025327,         3.999627,         0.013319,         0.032490,         0.409935,         0.160378,         0.016876,         9.503183,         0.007811,         0.015887,         0.491625,        -0.067606,         0.021899,        -3.087093,        -0.053932,         0.032234,        -1.673130,        -0.942022,         0.629666,        -1.496067,         0.097426,         0.044462,         2.191212,        -1.164971,         0.626834,        -1.858500,        -0.003822,         0.000712,        -5.365294,         0.378543,         0.158235,         2.392287,         0.050432,         0.049193,         1.025172,         0.871949,         0.034595,        25.204675,        -0.026766,         0.030485,        -0.878002,         4.981680,         4.833094,         0.148586,         2.577486,         0.917831,         0.205908,         0.005080
    6, 7, 961188.3749, 1944058.9059,         3.700189,         0.988357,         3.743776,         0.014162,         0.031809,         0.445230,         0.155155,         0.016478,         9.415718,         0.003591,         0.015967,         0.224928,        -0.062514,         0.021999,        -2.841740,        -0.054286,         0.032108,        -1.690742,        -0.719082,         0.611202,        -1.176504,         0.080988,         0.043698,         1.853345,        -0.903029,         0.509562,        -1.772167,        -0.004333,         0.000705,        -6.144416,         0.347107,         0.140849,         2.464391,         0.075780,         0.045573,         1.662818,         0.879677,         0.034563,        25.451702,        -0.023197,         0.029792,        -0.778636,         4.996729,         4.874190,         0.122539,         2.079616,         0.916431,         0.170364,         0.002619
    7, 8, 947937.8901, 1944856.5906,         6.150424,         1.099329,         5.594708,        -0.241314,         0.030487,        -7.915329,         0.125472,         0.017779,         7.057408,        -0.000643,         0.020640,        -0.031165,        -0.035605,         0.028259,        -1.259946,         0.011793,         0.029738,         0.396564,        -0.976034,         0.602579,        -1.619761,        -0.156274,         0.081726,        -1.912164,        -1.352383,         1.068918,        -1.265188,         0.003414,         0.001836,         1.859903,         0.695006,         0.255303,         2.722275,        -0.200273,         0.055520,        -3.607260,         0.847257,         0.043979,        19.264984,        -0.019495,         0.027954,        -0.697386,         4.342423,         4.330136,         0.012287,         0.211456,         0.913893,         0.193199,         0.000032
    8, 9, 954840.6249, 1945225.4372,         8.343513,         1.550494,         5.381196,        -0.102074,         0.030484,        -3.348453,         0.148635,         0.016872,         8.809578,         0.033197,         0.021011,         1.579950,        -0.110155,         0.026775,        -4.114156,        -0.036518,         0.025178,        -1.450410,        -3.134475,         0.827624,        -3.787319,        -0.037942,         0.053582,        -0.708124,        -5.219438,         2.939165,        -1.775823,        -0.001421,         0.001390,        -1.022032,         0.646295,         0.108407,         5.961732,         0.005025,         0.062402,         0.080524,         0.899361,         0.042408,        21.207596,         0.024505,         0.050461,         0.485613,         5.246520,         5.114612,         0.131908,         2.456652,         0.900045,         0.311097,         0.008037
    9, 10, 951324.5534, 1945525.5364,         4.227176,         1.349976,         3.131297,        -0.194985,         0.030763,        -6.338388,         0.103098,         0.018288,         5.637464,         0.033116,         0.019777,         1.674471,        -0.052175,         0.031983,        -1.631324,        -0.076173,         0.029189,        -2.609609,         0.331027,         0.725123,         0.456512,        -0.287471,         0.060546,        -4.747961,        -2.615231,         1.335070,        -1.958871,        -0.004685,         0.001870,        -2.505923,         0.136081,         0.100889,         1.348820,        -0.003073,         0.042125,        -0.072942,         0.815122,         0.050338,        16.193128,         0.022640,         0.039217,         0.577315,         4.659916,         4.764579,        -0.104663,        -1.779247,         0.905313,         0.173159,         0.001955
