Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_AGE, se_AGE, t_AGE, est_COMPLEX, se_COMPLEX, t_COMPLEX, est_COMDIST, se_COMDIST, t_COMDIST, est_SUBWAY, se_SUBWAY, t_SUBWAY, est_MAJROAD, se_MAJROAD, t_MAJROAD, est_AGEAVE, se_AGEAVE, t_AGEAVE, est_POPDEN, se_POPDEN, t_POPDEN, est_BLSPOPF, se_BLSPOPF, t_BLSPOPF, est_FIRENO, se_FIRENO, t_FIRENO, est_CAR2012R, se_CAR2012R, t_CAR2012R, est_TAX, se_TAX, t_TAX, est_AREA_1, se_AREA_1, t_AREA_1, est_FLOOR1_1, se_FLOOR1_1, t_FLOOR1_1, y, yhat, residual, std_residual, localR2, influence, CooksD
  494, 495, 944691.1413, 1950570.988,         2.798970,         2.394526,         1.168903,        -0.113745,         0.033506,        -3.394814,         0.125660,         0.017300,         7.263758,         0.007821,         0.023463,         0.333333,        -0.049347,         0.025227,        -1.956071,         0.053899,         0.026248,         2.053430,         0.035897,         1.264210,         0.028395,        -0.053011,         0.063254,        -0.838056,        -0.301817,         0.370779,        -0.814007,         0.001087,         0.003383,         0.321492,        -1.292160,         0.387349,        -3.335908,         0.072316,         0.077271,         0.935873,         1.092076,         0.065539,        16.662940,        -0.029746,         0.041322,        -0.719856,         4.527630,         4.555263,        -0.027633,        -0.528400,         0.899738,         0.161861,         0.000107
  495, 496, 944074.199, 1950453.5604,        -2.719390,         2.443240,        -1.113026,        -0.144656,         0.033320,        -4.341475,         0.133115,         0.016193,         8.220541,        -0.022258,         0.023057,        -0.965356,        -0.033447,         0.024842,        -1.346356,         0.027313,         0.023710,         1.151942,         2.818673,         1.266079,         2.226301,        -0.004653,         0.058792,        -0.079151,        -0.328916,         0.298155,        -1.103172,        -0.015667,         0.004137,        -3.787353,        -1.100121,         0.343862,        -3.199311,         0.370353,         0.105702,         3.503754,         1.009389,         0.062142,        16.243268,        -0.042918,         0.040074,        -1.070963,         4.605240,         4.580386,         0.024854,         0.455111,         0.901444,         0.086007,         0.000039
  496, 497, 944657.28, 1950622.1674,         2.864339,         2.405101,         1.190943,        -0.119830,         0.033679,        -3.557993,         0.124762,         0.017482,         7.136501,         0.004768,         0.023442,         0.203393,        -0.050351,         0.025348,        -1.986367,         0.052813,         0.026426,         1.998539,         0.024961,         1.266555,         0.019707,        -0.049984,         0.062145,        -0.804320,        -0.288531,         0.361325,        -0.798535,         0.000548,         0.003374,         0.162406,        -1.232227,         0.386960,        -3.184375,         0.066581,         0.078180,         0.851645,         1.076663,         0.066138,        16.279128,        -0.031659,         0.043027,        -0.735796,         4.752048,         4.797075,        -0.045027,        -0.839875,         0.897680,         0.119144,         0.000189
  497, 498, 944705.5375, 1950533.8175,         2.687237,         2.393949,         1.122512,        -0.110438,         0.033457,        -3.300874,         0.126236,         0.017220,         7.330757,         0.009385,         0.023523,         0.398978,        -0.048931,         0.025224,        -1.939876,         0.054449,         0.026187,         2.079244,         0.078976,         1.266511,         0.062357,        -0.054235,         0.064535,        -0.840400,        -0.308007,         0.379365,        -0.811901,         0.001257,         0.003417,         0.367854,        -1.331491,         0.390139,        -3.412861,         0.079769,         0.077386,         1.030790,         1.100805,         0.065422,        16.826117,        -0.028677,         0.040706,        -0.704493,         4.462398,         4.468532,        -0.006134,        -0.118805,         0.900881,         0.183103,         0.000006
  498, 499, 944394.7175, 1950650.4,         0.601435,         2.488217,         0.241713,        -0.138773,         0.034019,        -4.079338,         0.126018,         0.017451,         7.221203,        -0.011112,         0.023379,        -0.475293,        -0.047313,         0.025612,        -1.847271,         0.041938,         0.025939,         1.616787,         1.205994,         1.296485,         0.930203,        -0.029825,         0.060872,        -0.489967,        -0.275823,         0.323293,        -0.853166,        -0.007138,         0.003850,        -1.854008,        -0.994432,         0.372458,        -2.669920,         0.177576,         0.095775,         1.854093,         1.027659,         0.065671,        15.648705,        -0.042409,         0.046480,        -0.912420,         4.525045,         4.517813,         0.007232,         0.137741,         0.895874,         0.155162,         0.000007
  499, 500, 944047.6891, 1950862.3969,        -0.576480,         2.718675,        -0.212045,        -0.168709,         0.033134,        -5.091673,         0.125814,         0.016703,         7.532226,        -0.027805,         0.023077,        -1.204871,        -0.050210,         0.026012,        -1.930239,         0.026996,         0.024275,         1.112068,         1.934759,         1.409463,         1.372692,        -0.025779,         0.056029,        -0.460089,        -0.286488,         0.304317,        -0.941413,        -0.010659,         0.004771,        -2.234023,        -0.721844,         0.338312,        -2.133661,         0.229987,         0.125447,         1.833337,         0.944963,         0.062787,        15.050412,        -0.058119,         0.044720,        -1.299623,         4.688420,         4.759585,        -0.071165,        -1.715504,         0.892699,         0.472593,         0.005230
  500, 501, 942720.4675, 1949162.7013,         2.759191,         1.562674,         1.765685,        -0.202753,         0.041535,        -4.881456,         0.123768,         0.018892,         6.551304,        -0.022861,         0.019713,        -1.159698,        -0.025766,         0.023664,        -1.088855,         0.002454,         0.025076,         0.097871,        -0.016766,         0.870111,        -0.019268,        -0.041148,         0.075863,        -0.542396,        -0.892261,         2.049758,        -0.435301,        -0.004365,         0.001839,        -2.372920,         0.162966,         0.388694,         0.419266,         0.139196,         0.073504,         1.893723,         0.895325,         0.085156,        10.513964,        -0.074752,         0.035179,        -2.124882,         4.173186,         4.210299,        -0.037113,        -1.074671,         0.913200,         0.634496,         0.003976
  501, 502, 942352.8099, 1948194.858,         2.386477,         1.988099,         1.200381,        -0.146109,         0.029863,        -4.892633,         0.135263,         0.017844,         7.580262,        -0.030021,         0.023935,        -1.254289,        -0.090898,         0.027386,        -3.319174,        -0.026171,         0.023260,        -1.125176,         0.042183,         1.087282,         0.038797,        -0.032223,         0.072611,        -0.443782,        -1.153587,         1.435807,        -0.803442,        -0.003696,         0.001968,        -1.878224,         0.956807,         0.323105,         2.961290,         0.189666,         0.069216,         2.740199,         0.889267,         0.078173,        11.375691,        -0.050374,         0.025976,        -1.939273,         4.507155,         4.505843,         0.001312,         0.027635,         0.894633,         0.309713,         0.000001
  502, 503, 942223.499, 1948129.6849,         2.015345,         2.028545,         0.993493,        -0.148125,         0.029096,        -5.090965,         0.134689,         0.018013,         7.477268,        -0.032627,         0.024253,        -1.345292,        -0.096692,         0.027616,        -3.501237,        -0.028084,         0.023436,        -1.198315,         0.364946,         1.120052,         0.325830,        -0.049633,         0.072416,        -0.685384,        -1.216248,         1.447422,        -0.840286,        -0.003736,         0.002018,        -1.851209,         0.893925,         0.320145,         2.792251,         0.185418,         0.071166,         2.605408,         0.886348,         0.079512,        11.147369,        -0.047617,         0.025794,        -1.846079,         4.389166,         4.359938,         0.029228,         0.595134,         0.883448,         0.260807,         0.000248
  503, 504, 942011.1787, 1948690.3111,         2.407805,         1.373459,         1.753096,        -0.157252,         0.030718,        -5.119251,         0.109639,         0.017714,         6.189554,        -0.018408,         0.023176,        -0.794274,        -0.067300,         0.028241,        -2.383060,        -0.012729,         0.020369,        -0.624917,         0.354490,         0.841075,         0.421473,        -0.113058,         0.065874,        -1.716279,        -1.633078,         1.649443,        -0.990078,        -0.002815,         0.001675,        -1.680562,         0.350263,         0.400164,         0.875298,         0.151108,         0.058569,         2.580010,         0.913394,         0.076986,        11.864368,        -0.047819,         0.026042,        -1.836198,         4.243038,         4.339119,        -0.096081,        -1.976436,         0.885260,         0.275736,         0.002949
  504, 505, 941937.9098, 1948439.9206,         2.398328,         1.525950,         1.571695,        -0.156464,         0.028839,        -5.425418,         0.115227,         0.018188,         6.335389,        -0.023744,         0.024070,        -0.986465,        -0.078476,         0.028073,        -2.795420,        -0.016587,         0.021093,        -0.786388,         0.382355,         0.909110,         0.420581,        -0.108890,         0.067394,        -1.615738,        -1.402316,         1.574368,        -0.890716,        -0.002774,         0.001744,        -1.590643,         0.403625,         0.381501,         1.057994,         0.146802,         0.063479,         2.312603,         0.910180,         0.078810,        11.549017,        -0.045659,         0.025782,        -1.770945,         4.269513,         4.320781,        -0.051268,        -1.013331,         0.875381,         0.215529,         0.000559
  505, 506, 941453.7063, 1948465.4915,         2.891669,         1.260120,         2.294756,        -0.162574,         0.026677,        -6.094241,         0.114604,         0.015896,         7.209830,        -0.016690,         0.023422,        -0.712592,        -0.072782,         0.026824,        -2.713252,        -0.018203,         0.019996,        -0.910341,         0.040253,         0.805918,         0.049947,        -0.089651,         0.066557,        -1.346987,        -1.396352,         1.530779,        -0.912184,        -0.002087,         0.001577,        -1.323454,         0.389227,         0.390455,         0.996855,         0.127066,         0.053816,         2.361098,         0.916609,         0.073710,        12.435395,        -0.041497,         0.023967,        -1.731409,         4.537088,         4.473193,         0.063895,         1.289359,         0.890307,         0.247378,         0.001084
  506, 507, 942511.4743, 1948642.7205,         2.935681,         1.663261,         1.765015,        -0.145547,         0.035090,        -4.147776,         0.116167,         0.019119,         6.076022,        -0.024729,         0.022074,        -1.120288,        -0.069192,         0.026625,        -2.598794,        -0.011475,         0.022934,        -0.500360,        -0.363042,         0.917164,        -0.395831,        -0.024080,         0.075845,        -0.317487,        -1.440302,         1.623378,        -0.887225,        -0.003597,         0.001759,        -2.045286,         0.970971,         0.390833,         2.484362,         0.177944,         0.063283,         2.811873,         0.900063,         0.082816,        10.868276,        -0.057333,         0.028503,        -2.011451,         4.336460,         4.333285,         0.003175,         0.069814,         0.898252,         0.366040,         0.000006
  507, 508, 942119.8488, 1948718.4275,         2.693286,         1.346603,         2.000059,        -0.153587,         0.030986,        -4.956625,         0.112439,         0.017369,         6.473368,        -0.021701,         0.022138,        -0.980281,        -0.068456,         0.027346,        -2.503278,        -0.013783,         0.020172,        -0.683301,         0.118222,         0.814101,         0.145217,        -0.096449,         0.064421,        -1.497165,        -1.605600,         1.618727,        -0.991891,        -0.002907,         0.001643,        -1.769141,         0.475165,         0.382881,         1.241024,         0.153130,         0.056992,         2.686893,         0.907931,         0.076123,        11.927159,        -0.049891,         0.026122,        -1.909916,         4.447241,         4.501374,        -0.054133,        -1.072270,         0.888832,         0.218888,         0.000639
  508, 509, 943040.139, 1948877.6081,         0.141426,         2.489681,         0.056805,        -0.208398,         0.044221,        -4.712690,         0.126437,         0.021560,         5.864367,         0.004230,         0.022718,         0.186194,        -0.013441,         0.023031,        -0.583599,         0.021626,         0.028728,         0.752796,         0.323211,         1.232722,         0.262193,         0.191630,         0.111845,         1.713353,         2.256385,         2.251296,         1.002260,        -0.006551,         0.002234,        -2.931904,         1.367757,         0.618376,         2.211855,         0.262769,         0.087091,         3.017192,         0.933671,         0.087427,        10.679413,        -0.083671,         0.036756,        -2.276421,         4.146128,         4.060569,         0.085559,         2.419502,         0.929119,         0.616764,         0.018684
  509, 510, 943461.4811, 1948078.0721,         5.238069,         2.347711,         2.231139,        -0.163814,         0.036863,        -4.443910,         0.172413,         0.016509,        10.443293,         0.016627,         0.019065,         0.872109,        -0.036230,         0.025673,        -1.411190,         0.009337,         0.023766,         0.392879,        -2.324938,         1.206151,        -1.927568,         0.105828,         0.085835,         1.232922,         1.447469,         1.745617,         0.829202,        -0.001845,         0.001931,        -0.955575,         0.759601,         0.221184,         3.434248,         0.157541,         0.074982,         2.101043,         0.957671,         0.067838,        14.116990,        -0.086261,         0.028891,        -2.985783,         4.460895,         4.419830,         0.041065,         0.827362,         0.948071,         0.245016,         0.000441
  510, 511, 943075.4938, 1948165.897,         3.700430,         2.421685,         1.528039,        -0.157259,         0.034060,        -4.617161,         0.159226,         0.016783,         9.487053,         0.006914,         0.019753,         0.350026,        -0.057837,         0.025381,        -2.278757,        -0.010436,         0.024073,        -0.433508,        -1.331462,         1.237736,        -1.075724,         0.103840,         0.091025,         1.140785,         0.488271,         1.500500,         0.325406,        -0.002676,         0.001994,        -1.341721,         1.288863,         0.444597,         2.898948,         0.162934,         0.075263,         2.164864,         0.920564,         0.069915,        13.166824,        -0.068837,         0.027447,        -2.507985,         4.301030,         4.342542,        -0.041512,        -0.822465,         0.941858,         0.219252,         0.000377
  511, 512, 942516.6266, 1948054.6557,         2.029053,         2.416554,         0.839647,        -0.146363,         0.030859,        -4.742994,         0.147436,         0.017882,         8.244788,        -0.026795,         0.023759,        -1.127790,        -0.094757,         0.027670,        -3.424581,        -0.030052,         0.024393,        -1.231988,         0.110052,         1.269393,         0.086696,         0.011464,         0.083270,         0.137669,        -0.769263,         1.387505,        -0.554422,        -0.004070,         0.002211,        -1.840767,         1.086109,         0.330194,         3.289311,         0.200559,         0.078139,         2.566711,         0.879025,         0.077317,        11.369086,        -0.052042,         0.025998,        -2.001720,         4.361728,         4.387440,        -0.025712,        -0.495396,         0.907672,         0.174401,         0.000103
  512, 513, 942172.1581, 1947922.0353,         1.497802,         2.179892,         0.687099,        -0.148664,         0.027664,        -5.373956,         0.145305,         0.017242,         8.427610,        -0.036741,         0.023043,        -1.594458,        -0.109496,         0.026621,        -4.113127,        -0.034349,         0.023420,        -1.466680,         0.647146,         1.191219,         0.543263,        -0.026861,         0.074719,        -0.359490,        -1.094505,         1.365533,        -0.801522,        -0.004047,         0.002073,        -1.952296,         1.012738,         0.298377,         3.394156,         0.187714,         0.071767,         2.615612,         0.875349,         0.076412,        11.455689,        -0.046082,         0.025079,        -1.837457,         4.357935,         4.382154,        -0.024219,        -0.447004,         0.888698,         0.100348,         0.000044
